SampledDate,% Volatile Suspended Solids,Biochemical Oxygen Demand,Soluble BOD,TSS - Change in Wt,Total Suspended Solids,Volatile Suspended Solids,pH
2024-12-16,,711,,1.28,470,,6.60
2024-12-17,,651,,1.46,410,,6.07
2024-12-18,,414,,3.07,326,,6.54
2024-12-19,,562,,0.63,318,,6.25
2024-12-20,,,,0.98,291,,
2024-12-21,,,,1.16,518,,
2024-12-22,,571,,0.54,561,,6.41
2024-12-23,,,,0.00,475,,
2024-12-24,,,,1.24,482,,
2024-12-25,,635,,0.63,632,,6.32
2024-12-26,,780,,2.82,568,,6.56
2024-12-27,,,,1.38,580,,
2024-12-28,,,,1.53,524,,
2024-12-29,,240,,2.62,382,,6.47
2024-12-30,,644,,3.37,297,,6.62
2024-12-31,,,,0.99,404,,
2025-01-01,,420,,0.95,525,,6.57
2025-01-02,,744,,0.43,588,,6.16
2025-01-03,,,,0.62,648,,
2025-01-04,,,,0.37,769,,
2025-01-05,,791,,0.00,708,,6.28
2025-01-06,,457,,1.14,526,,6.56
2025-01-07,,791,,0.30,481,,6.67
2025-01-08,,487,,2.47,566,,6.54
2025-01-09,,641,,0.93,535,,6.31
2025-01-10,,,,0.40,498,,
2025-01-11,,,,0.97,412,,
2025-01-12,,464,,2.11,474,,6.42
2025-01-13,,557,,2.22,563,,6.34
2025-01-14,,,,0.41,613,,
2025-01-15,,,,0.86,580,,
2025-01-16,,,,1.92,653,,
2025-01-17,,,,2.59,643,,
2025-01-18,,,,1.55,645,,
2025-01-19,,,,0.37,542,,
2025-01-20,,,,1.73,577,,
2025-01-21,,,,0.90,444,,
2025-01-22,,,,1.38,580,,
2025-01-23,,,,2.22,360,,
2025-01-24,,,,0.64,785,,
2025-01-25,,,,0.79,635,,
2025-01-26,,,,0.76,655,,
2025-01-27,,,,0.00,625,,
2025-01-28,,,,1.47,680,,
2025-01-29,,,,0.40,618,,
2025-01-30,,,,3.68,748,,
2025-01-31,,,,1.51,498,,
2025-02-01,,,,1.52,493,,
2025-02-02,,,,0.00,547,,
2025-02-03,,,,2.99,557,,
2025-02-04,,,,1.42,703,,
2025-02-05,,,,0.95,525,,
2025-02-06,,,,3.59,628,,
2025-02-07,,,,1.59,630,,
2025-02-08,,,,4.42,603,,
2025-02-09,,,,0.54,740,,
2025-02-10,,,,2.19,638,,
2025-02-11,,,,3.38,690,,
2025-02-12,,,,1.14,440,,
2025-02-13,,,,0.36,698,,
2025-02-14,,,,0.43,578,,
2025-02-15,,,,0.26,484,,
2025-02-16,,,,1.84,408,,
2025-02-17,,,,3.55,394,,
2025-02-18,,,,2.96,423,,
2025-02-19,,,,2.17,460,,
2025-02-20,,,,0.71,353,,
2025-02-21,,,,2.22,450,,
2025-02-22,,,,1.98,505,,
2025-02-23,,,,1.16,430,,
2025-02-24,,,,2.60,385,,
2025-02-25,,,,2.70,592,,
2025-02-26,,677,,0.00,588,,6.02
2025-02-27,,833,,0.00,620,,7.40
2025-02-28,,,,0.45,558,,
2025-03-01,,,,0.46,543,,
2025-03-02,,691,,0.44,563,,6.16
2025-03-03,,872,,0.61,656,,6.09
2025-03-04,,742,,0.41,603,,6.14
2025-03-05,,640,,0.00,590,,6.19
2025-03-06,,808,,0.00,853,,6.00
2025-03-07,,,,0.49,513,,
2025-03-08,,,,2.65,565,,
2025-03-09,,705,,2.73,610,,6.22
2025-03-10,,574,,1.49,670,,6.19
2025-03-11,,179,,2.67,750,,5.89
2025-03-12,,719,,0.40,830,,6.22
2025-03-13,,693,,0.00,1167,,6.21
2025-03-14,,,,1.33,750,,
2025-03-15,,,,3.19,627,,
2025-03-16,,361,,0.91,367,,6.49
2025-03-17,,453,,0.46,438,,6.45
2025-03-18,,875,,1.48,677,,6.44
2025-03-19,,867,,0.49,677,,6.54
2025-03-20,,664,,0.78,645,,6.47
2025-03-21,,,,3.49,573,,
2025-03-22,,,,2.40,625,,
2025-03-23,,676,,0.00,540,,6.20
2025-03-24,,565,,0.37,542,,6.31
2025-03-25,,242,,0.38,530,,5.92
2025-03-26,,695,,0.00,580,,6.88
2025-03-27,,1100,,0.87,1150,,6.36
2025-03-28,,,,1.55,860,,
2025-03-29,,,,0.88,565,,
2025-03-30,,598,,2.29,524,,6.28
2025-03-31,,464,,1.26,454,,6.39
2025-04-01,,792,,3.33,750,,6.07
2025-04-02,,870,,1.65,1010,,6.14
2025-04-03,,,,0.88,565,,
2025-04-04,,,,0.39,319,,
2025-04-05,,,,0.31,404,,
2025-04-06,,<200,,0.00,287,,6.74
2025-04-07,,420,,0.93,360,,6.23
2025-04-08,,498,,0.78,430,,6.39
2025-04-09,,374,,1.90,420,,6.56
2025-04-10,,452,,2.20,454,,6.17
2025-04-11,,,,0.90,444,,
2025-04-12,,,,2.07,483,,
2025-04-13,,567,,2.11,593,,6.57
2025-04-14,,739,,0.00,780,,6.45
2025-04-15,,524,,0.46,1085,,6.47
2025-04-16,,650,,4.94,810,,6.91
2025-04-17,,,,3.61,830,,
2025-04-18,,,,1.10,910,,
2025-04-19,,,,2.51,663,,
2025-04-20,,685,,0.00,640,,6.76
2025-04-21,,230,,0.35,943,,6.30
2025-04-22,84,232,,0.40,887,747,6.42
2025-04-23,,812,,0.75,887,,19.2
2025-04-24,,560,,0.35,943,,6.17
2025-04-25,,,,1.28,780,,
2025-04-26,,,,0.83,600,,
2025-04-27,,678,,1.61,827,,6.30
2025-04-28,,298,,3.23,517,,6.28
2025-04-29,,416,,2.86,700,,6.69
2025-04-30,,516,,0.00,760,,6.38
2025-05-01,,30,,1.45,690,,6.53
2025-05-02,,,,1.08,698,,
2025-05-03,,,,0.55,654,,
2025-05-04,,606,,0.78,717,,6.52
2025-05-05,,682,,1.86,805,,6.11
2025-05-06,,604,,2.01,745,,6.32
2025-05-07,,521,,0.00,640,,6.97
2025-05-08,,422,,0.40,618,,5.94
2025-05-09,,,,2.54,657,,
2025-05-10,,,,1.95,643,,
2025-05-11,,629,,1.37,730,,6.55
2025-05-12,,136,,0.43,770,,6.37
2025-05-13,,264,,1.10,546,,6.24
2025-05-14,,530,,3.59,650,,6.53
2025-05-15,,833,,0.36,917,,6.32
2025-05-16,,,,1.00,667,,
2025-05-17,,,,0.55,603,,
2025-05-18,,676,,1.12,668,,6.29
2025-05-19,,482,18,1.57,478,,6.50
2025-05-20,,39,,1.33,450,,6.33
2025-05-21,,29,,0.86,464,,6.35
2025-05-22,,509,,2.11,568,,6.18
2025-05-23,,,,1.75,570,,
2025-05-24,,,,0.69,483,,
2025-05-25,,,,3.11,225,,
2025-05-26,,214,,0.85,295,,7.05
2025-05-27,,270,,0.88,251,,7.01
2025-05-28,,516,,1.06,470,,6.43
2025-05-29,,,,1.56,459,,
