SampledDate,% Volatile Suspended Solids,Ammonia as N,Analysis Date/Time,Apparent Color,Arsenic,Biochemical Oxygen Demand,Cadmium,Chemical Oxygen Demand,Chromium,Cobalt,Copper,Dissolved Oxygen,Escherichia coli,Lead,Mercury,Method Reference,Molybdenum,Nickel,Organic Nitrogen,Phosphorus-total,Sample Amount,Selenium,Settleable Solids,Soluble BOD,Subcontract Lab ID,Sulfur,TSS - Change in Wt,Total Nitrogen,Total Suspended Solids,Volatile Suspended Solids,Zinc,pH,pH Apparent Color
2025-08-20,93,14.3,,,,24,,177,,,,8.94,,,,,,,,,1000,,<0.5,19,,36.2,0.70,,15,14,,7.56,
2025-08-21,98,13.8,,,,14,,190,,,,7.22,,,,,,,,,1000,,<0.5,17,,36.6,0.50,,20,20,,7.58,
2025-08-22,86,9.92,,,,11,,172,,,,8.04,,,,,,,,,1000,,<0.5,16,,35.7,2.68,,28,24,,7.56,
2025-08-23,96,17.7,,,,18,,303,,,,6.55,,,,,,,,,1000,,<0.5,14,,32.3,1.99,,25,24,,7.54,
2025-08-24,92,12.3,,,,17,,215,,,,5.81,,,,,,,,,1000,,<0.5,12,,33.4,3.23,,19,17,,7.44,
2025-08-25,87,9.3,,,,16,,238,,,,5.74,,,,,,,,,1000,,<0.5,21,,26.8,0.00,,19,16,,7.43,
2025-08-26,97,7.95,,,,17,,207,,,,6.48,,,,,,,,,1000,,<0.5,14,,26.6,1.11,,18,18,,7.31,
2025-08-27,93,17,,,,60,,217,,,,5.82,,,,,,,,,1000,,<0.5,14,,29.1,0.25,,20,19,,7.44,
2025-08-28,91,21.3,,,,56,,94,,,,8.04,,,,,,,,,1000,,<0.5,29,,30.9,2.20,,18,17,,7.49,
2025-08-29,91,27.7,,,,42,,138,,,,7.99,,,,,,,,,1000,,1.5,24,,33.8,1.44,,41,38,,7.42,
2025-08-30,90,32.1,,,,41,,232,,,,8.21,,,,,,,,,1000,,<0.5,28,,32.5,1.00,,30,27,,7.54,
2025-08-31,90,43.1,,,,25,,36,,,,4.75,,,,,,,8.2,9.95,1000,,<0.5,26,,35.7,1.77,53.4,25,23,,7.37,
2025-09-01,100,22.1,,,,19,,188,,,,6.36,,,,,,,,,1000,,<0.5,14,,28.9,1.41,,14,14,,7.44,
2025-09-02,98,41.1,,,,63,,152,,,,5.09,,,,,,,<5.00,11.7,1000,,<0.5,17,,29.1,0.27,47.4,18,18,,7.62,
2025-09-03,94,48.1,,780,,44,,186,,,,7.47,,,,,,,,,1000,,<0.5,22,,32.5,4.30,,36,34,,7.74,7.74
2025-09-04,99,36,,710,,46,,164,,,,8.28,,,,,,,,,1000,,<0.5,23,,34.1,2.35,,26,25,,7.64,7.64
2025-09-05,95,31.3,,790,,58,,141,,,,3.60,,,,,,,,,1000,,<0.5,25,,35.1,0.79,,40,38,,7.56,7.56
2025-09-06,98,36.2,,632,,22,,300,,,,3.03,,,,,,,,,1000,,<0.5,23,,33,0.50,,40,39,,7.55,7.55
2025-09-07,93,26,,452,,30,,264,,,,8.69,,,,,,,,,1000,,<0.5,13,,32.1,3.85,,21,19,,7.74,7.74
2025-09-08,97,18.8,,324,,16,,130,,,,8.95,,,,,,,,,1000,,<0.5,112,,30,2.51,,10,10,,7.60,7.60
2025-09-09,96,30.2,,,,22,,484,,,,7.54,,,,,,,,,1000,,<0.5,17,,26.2,1.69,,15,14,,7.52,
2025-09-10,98,21.8,,398,,25,,228,,,,5.38,,,,,,,,,1000,,<0.5,17,,21.7,2.70,,26,25,,7.56,7.56
2025-09-11,93,20,9/17/2025 14:39,270,<0.0100,22,<0.0020,180,<0.0050,<0.0100,0.0134,2.16,,<0.0060,<0.00020,EPA-245.1,0.0082,0.0145,,,1000,<0.0100,<0.5,9,Waypoint Analytical LLC.,24.4,1.55,,19,18,0.0304,7.44,7.44
2025-09-12,95,36.9,,,,47,,236,,,,6.93,,,,,,,,,1000,,1,11,,22.8,2.97,,54,51,,7.44,
2025-09-13,92,39.1,,440,,36,,192,,,,4.97,,,,,,,,,1000,,<0.5,41,,23,1.01,,50,46,,7.50,7.50
2025-09-14,93,25.5,,460,,35,,188,,,,4.49,,,,,,,,,1000,,1,17,,21.2,1.77,,57,53,,7.43,7.43
2025-09-15,93,24.3,,420,,50,,276,,,,6.68,,,,,,,,,1000,,3,24,,27.8,1.37,,73,68,,7.42,7.42
2025-09-16,99,19.9,,325,,22,,256,,,,6.91,,,,,,,,,1000,,<0.5,<12,,27,2.37,,21,21,,7.55,7.55
2025-09-17,96,37.4,,413,,28,,67,,,,7.23,,,,,,,,,1000,,<0.5,16,,26.7,4.21,,19,18,,7.61,7.61
2025-09-18,98,46.9,,468,,28,,99,,,,6.17,,,,,,,,,1000,,<0.5,17,,27.1,0.41,,25,24,,7.72,7.72
2025-09-19,89,30.7,,716,,48,,536,,,,7.71,,,,,,,,,1000,,6,<12,,25.5,0.12,,106,95,,7.61,7.61
2025-09-20,89,23.2,,940,,58,,180,,,,6.83,,,,,,,,,1000,,12,13,,32.5,1.90,,166,147,,7.61,7.61
2025-09-21,100,59,,540,,40,,224,,,,8.49,,,,,,,,,1000,,1.5,<12,,25.6,2.46,,61,61,,7.68,7.68
2025-09-22,93,29,,1360,,84,,240,,,,6.35,,,,,,,,,1000,,20,<12,,21.5,1.29,,194,179,,7.52,7.52
2025-09-23,97,28.9,,1250,,75,,700,,,,6.45,,,,,,,,,1000,,16,9,,20.3,1.39,,181,175,,7.50,7.50
2025-09-24,98,30,,910,,49,,260,,,,8.83,,,,,,,,,1000,,8,12,,22.7,0.76,,99,97,,7.71,7.71
2025-09-25,88,19.2,,800,,109,,730,,,,5.37,,,,,,,,,1000,,32,7,,27.8,0.77,,294,259,,7.42,7.42
2025-09-26,93,32.3,,312,,16,,190,,,,8.21,,,,,,,,,1000,,0.5,15,,29.5,2.88,,24,23,,7.54,7.54
2025-09-27,94,51.5,,464,,28,,200,,,,8.06,,,,,,,,,1000,,<0.5,12,,33.2,3.92,,38,36,,7.72,7.72
2025-09-28,91,46.3,,1076,,72,,150,,,,6.83,,,,,,,,,1000,,19,21,,28.6,1.31,,191,173,,7.75,7.75
2025-09-29,91,38.8,,408,,54,,136,,,,7.61,,,,,,,,,1000,,15,25,,27.5,1.96,,143,130,,7.69,7.69
2025-09-30,98,38.7,,288,,13,,96,,,,8.15,,,,,,,,,1000,,<0.5,8,,79.2,0.68,,15,14,,7.71,7.71
2025-10-01,80,27,,226,,9,,110,,,,7.99,,,,,,,,,1000,,<0.5,<12,,25.5,1.68,,15,12,,7.72,7.72
2025-10-02,86,17.6,,177,,9,,96,,,,8.75,,,,,,,,,1000,,<0.5,<12,,21.2,1.64,,11,10,,7.83,6.71
2025-10-03,89,68.5,,514,,30,,52,,,,8.26,,,,,,,,,1000,,<0.5,13,,21.6,3.16,,29,26,,7.86,7.86
2025-10-04,80,55.1,,468,,25,,152,,,,7.01,,,,,,,,,1000,,<0.5,21,,21.4,1.85,,28,22,,7.77,7.77
2025-10-05,96,41.6,,360,,28,,110,,,,8.20,,,,,,,<5.00,9.04,1000,,<0.5,<12,,19.5,2.41,52.3,15,14,,7.76,6.97
2025-10-06,94,13.4,,406,,33,,100,,,,8.04,,,,,,,,,1000,,1,6,,21.3,4.29,,30,28,,7.39,7.39
2025-10-07,88,13.6,,357,,40,,132,,,,8.75,,,,,,,,,1000,,1,9,,29.9,0.22,,45,39,,7.44,7.44
2025-10-08,90,11.1,,479,,22,,214,,,,8.41,,,,,,,,,1000,,<0.5,11,,26.4,1.66,,27,24,,7.44,7.36
2025-10-09,98,13.4,,302,,17,,122,,,,8.45,,,,,,,,,1000,,<0.5,<12,,21.1,2.61,,15,15,,7.46,7.46
2025-10-10,90,24,,452,,21,,122,,,,6.93,,,,,,,,,1000,,<0.5,16,,23,0.81,,24,22,,7.46,7.46
2025-10-11,95,40.2,,500,,23,,246,,,,6.81,,,,,,,,,1000,,<0.5,23,,21.4,0.82,,25,23,,7.55,7.55
2025-10-12,92,35.5,,334,,16,,202,,,,8.87,,,,,,,,,1000,,<0.5,12,,20,1.41,,14,13,,7.82,7.55
2025-10-13,96,38.8,,360,,16,,118,,,,8.32,,,,,,,,,1000,,<0.5,9,,16.9,1.64,,18,18,,7.68,7.68
2025-10-14,90,30.3,,360,,20,,220,,,,7.88,,,,,,,,,1000,,<0.5,18,,20,1.73,,17,16,,7.66,7.66
2025-10-15,89,28.6,,368,,14,,218,,,,8.42,,,,,,,,,1000,,<0.5,14,,28.7,1.59,,12,11,,7.71,7.71
2025-10-16,81,19.7,,324,,18,,144,,,,8.84,,,,,,,,,1000,,<0.5,14,,28.8,4.00,,12,10,,7.56,7.56
2025-10-17,89,19.4,,372,,18,,198,,,,7.51,,,,,,,,,1000,,<0.5,10,,20.1,2.22,,16,14,,7.51,7.51
2025-10-18,96,15.9,,300,,17,,176,,,,8.24,,,,,,,,,1000,,<0.5,17,,24.2,1.82,,14,13,,7.47,7.47
2025-10-19,100,15.2,,286,,11,,168,,,,7.87,,,,,,,,,1000,,<0.5,<8,,20.2,4.00,,11,11,,7.68,7.68
2025-10-20,94,20.4,,280,,13,,164,,,,8.70,,,,,,,,,1000,,<0.5,<12,,16.2,2.33,,13,12,,7.64,7.64
2025-10-21,99,19.2,,290,,12,,154,,,,8.66,,,,,,,,,1000,,<0.5,12,,16.9,1.71,,15,14,,7.49,7.49
2025-10-22,97,15.2,,316,,12,,218,,,,8.10,,,,,,,,,1000,,<0.5,13,,22.3,2.04,,15,14,,7.49,7.49
2025-10-23,99,27.2,,384,,19,,197,,,,8.34,,,,,,,,,1000,,<0.5,15,,23.1,0.54,,18,18,,7.61,7.61
2025-10-24,89,67.5,,324,,28,,276,,,,6.30,,,,,,,,,1000,,<0.5,36,,24.3,4.62,,48,43,,7.67,7.67
2025-10-25,100,51,,492,,28,,271,,,,5.93,,,,,,,,,1000,,<0.5,26,,17.3,0.93,,22,22,,7.55,7.55
2025-10-26,90,35,,920,,73,,468,,,,6.24,,,,,,,,,1000,,9,45,,21.6,0.82,,122,110,,7.53,7.53
2025-10-27,96,13.7,,120,,37,,142,,,,8.67,,,,,,,,,1000,,1,18,,21.8,4.13,,51,49,,7.43,7.43
2025-10-28,86,21.7,,310,,20,,211,,,,8.71,,,,,,,,,1000,,<0.5,16,,19.9,4.00,,13,11,,7.39,7.39
2025-10-29,93,17,,778,,54,,393,,,,8.71,,,,,,,,,1000,,13,41,,16.5,1.81,,117,108,,6.23,7.51
2025-10-30,91,24.8,,461,,79,,420,,,,7.70,,,,,,,,,1000,,14,16,,18.8,0.30,,141,128,,7.53,7.53
2025-10-31,100,16.5,,234,,12,,168,,,,5.18,,,,,,,,,1000,,<0.5,<12,,22.4,1.61,,9,9,,7.70,7.70
2025-11-01,94,18.9,,294,,15,,182,,,,6.04,,,,,,,,,1000,,<0.5,10,,18.6,1.33,,11,11,,7.64,7.64
2025-11-02,94,30.8,,356,,16,,205,,,,6.52,,,,,,,,,1000,,<0.5,12,,18.3,2.27,,13,12,,7.62,7.62
2025-11-03,95,54,,402,,23,,456,,,,8.88,,,,,,,,,1000,,<0.5,21,,18.6,0.54,,18,17,,7.66,7.66
2025-11-04,92,60.5,,510,,36,,392,,,,6.46,,,,,,,5.3,14.1,1000,,<0.5,76,,22.4,1.68,65.8,30,27,,7.57,7.57
2025-11-05,95,45.4,,448,,26,,440,,,,7.41,,,,,,,,,1000,,<0.5,25,,20.7,1.38,,43,41,,7.54,7.54
2025-11-06,96,27.8,,304,,18,,252,,,,7.41,,,,,,,,,1000,,<0.5,18,,19.3,0.29,,17,16,,7.67,7.67
2025-11-07,81,24.7,,348,,21,,330,,,,8.43,,,,,,,,,1000,,<0.5,15,,18.7,3.82,,13,11,,7.66,7.66
2025-11-08,100,61.6,,490,,23,,248,,,,6.12,,,,,,,,,1000,,<0.5,24,,19.5,3.85,,21,21,,7.50,7.50
2025-11-09,100,32.9,,920,,24,,236,,,,6.00,,,,,,,,,1000,,<0.5,21,,17.7,0.00,,19,19,,7.51,7.51
2025-11-10,96,45.2,,436,,88,,486,,,,8.61,,,,,,,,,1000,,0.5,21,,16.5,3.57,,22,22,,7.62,7.62
2025-11-11,95,31.4,,308,,25,,192,,,,6.78,,,,,,,,,1000,,<0.5,16,,19.1,0.44,,23,22,,7.57,7.57
2025-11-12,99,20.6,,358,,24,,426,,,,7.96,,,,,,,,,1000,,<0.5,49,,21.1,3.88,,26,26,,7.55,7.55
2025-11-13,89,14.7,,432,,29,,214,,,,8.05,>2419.6,,,,,,,,1000,,<0.5,19,,19.4,2.76,,21,19,,7.46,7.46
2025-11-14,94,19.9,,522,,33,,216,,,,7.68,13.1,,,,,,,,1000,,<0.5,31,,21,0.67,,37,35,,7.62,7.62
2025-11-15,94,18.6,,528,,16,,273,,,,7.93,,,,,,,,,1000,,<0.5,18,,23.9,1.57,,41,39,,7.61,7.61
2025-11-16,100,17.2,,692,,30,,443,,,,7.80,,,,,,,,,1000,,<0.5,23,,25.8,2.06,,34,34,,7.50,7.50
2025-11-17,99,20.5,,668,,46,,556,,,,7.50,,,,,,,,,1000,,1.5,21,,24.3,2.47,,61,60,,7.46,7.46
2025-11-18,98,24.9,,566,,45,,287,,,,6.68,1203.3,,,,,,,,1000,,<0.5,26,,18.7,2.03,,44,43,,7.54,7.54
2025-11-19,98,36.4,,888,,77,,642,,,,4.20,,,,,,,,,1000,,<0.5,45,,20.1,4.91,,65,64,,7.72,7.72
2025-11-20,97,20.9,,1810,,164,,394,,,,2.47,185,,,,,,,,1000,,2,52,,25.6,4.53,,188,183,,7.62,7.62
2025-11-21,95,20.9,,1276,,61,,524,,,,0.36,2419.6,,,,,,,,1000,,1.5,80,,33.9,2.04,,97,92,,7.28,7.28
2025-11-22,93,14.3,,792,,52,,224,,,,4.35,3640000,,,,,,,,1000,,<0.5,42,,29.4,0.90,,56,52,,7.32,7.32
2025-11-23,96,20.6,,560,,45,,272,,,,7.92,111.2,,,,,,,,1000,,<0.5,44,,40.8,1.63,,38,37,,7.61,7.61
2025-11-24,99,25.9,12/5/2025 14:08,532,<0.0100,37,<0.0020,218,<0.0050,<0.0100,0.0176,8.51,<200,<0.0060,<0.00020,EPA-245.1,0.0095,0.0201,,,1000,<0.0100,<0.5,27,Waypoint Analytical LLC.,34.5,4.94,,32,32,<0.0200,7.61,7.61
2025-11-25,95,24.5,,890,,127,,400,,,,5.01,48392,,,,,,,,1000,,1,69,,24.9,4.31,,102,98,,7.56,7.56
2025-11-26,95,22,,490,,59,,672,,,,4.75,520,,,,,,,,1000,,<0.5,21,,29.4,1.52,,53,50,,7.38,7.38
2025-11-27,89,26.9,,400,,57,,350,,,,4.55,200,,,,,,,,1000,,<0.5,39,,37,0.87,,57,51,,7.37,7.37
2025-11-28,93,31.2,,606,,47,,324,,,,6.17,165.8,,,,,,,,1000,,<0.5,27,,38.3,0.79,,54,51,,7.44,7.44
2025-11-29,87,26.3,,538,,41,,112,,,,7.47,74,,,,,,,,1000,,<0.5,52,,38.8,2.44,,47,41,,7.53,7.53
2025-11-30,91,28.9,,365,,25,,126,,,,8.41,75.9,,,,,,,,1000,,<0.5,24,,42.8,0.22,,23,21,,7.63,7.63
2025-12-01,93,30.9,,452,,36,,239,,,,8.53,>2419.6,,,,,,11.3,6.36,1000,,<0.5,18,,31.1,1.66,42.2,36,34,,7.62,7.62
2025-12-02,95,15.5,,1620,,134,,518,,,,3.27,3160,,,,,,,,1000,,2,73,,65.7,0.12,,217,206,,7.43,7.43
2025-12-03,97,26.1,,900,,80,,324,,,,3.71,200,,,,,,,,1000,,<0.5,55,,25.2,1.67,,180,175,,7.51,7.51
2025-12-04,100,30.2,,970,,76,,354,,,,5.15,<100,,,,,,,,1000,,<0.5,44,,23.7,1.20,,83,83,,7.63,7.63
2025-12-05,98,30.4,,578,,74,,370,,,,1.08,122,,,,,,,,1000,,<0.5,45,,25.9,1.27,,94,92,,7.50,7.50
2025-12-06,96,23.9,,506,,79,,398,,,,1.98,615.2,,,,,,,,1000,,<0.5,60,,27.8,0.45,,88,85,,7.48,7.48
2025-12-07,89,23.9,,1124,,79,,344,,,,4.63,428.4,,,,,,,,1000,,<0.5,43,,35.8,3.18,,94,83,,7.43,7.43
2025-12-08,98,31.3,,1444,,146,,412,,,,0.55,375,,,,,,,,1000,,0.5,47,,31.5,0.76,,165,161,,7.52,7.52
2025-12-09,89,32.9,,1124,,88,,384,,,,5.22,310,,,,,,,,1000,,<0.5,70,,33.9,1.15,,119,105,,7.54,7.54
2025-12-10,93,33.6,,1336,,84,,368,,,,5.66,630,,,,,,,,1000,,<0.5,64,,44.2,2.50,,103,96,,7.33,7.33
2025-12-11,92,21.1,12/12/2025 15:30,996,<0.0100,85,<0.0020,332,<0.0050,<0.0100,0.0103,3.40,375,<0.0060,<0.00020,EPA-245.1,0.0094,0.0256,,,1000,<0.0100,<0.5,51,Waypoint Analytical LLC.,40.3,0.64,,116,107,0.0667,7.41,7.41
2025-12-12,98,35.1,,822,,70,,312,,,,4.46,206.8,,,,,,,,1000,,<0.5,60,,45,0.32,,62,61,,7.34,7.34
2025-12-13,99,30.8,,616,,57,,136,,,,6.14,15,,,,,,,,1000,,<0.5,50,,44.5,3.19,,59,59,,7.33,7.33
2025-12-14,100,28.4,,422,,33,,216,,,,8.68,97.4,,,,,,,,1000,,<0.5,19,,44.3,1.59,,26,26,,7.61,7.61
2025-12-15,97,26.6,,444,,40,,260,,,,8.02,48.6,,,,,,,,1000,,0.7,27,,40.7,3.26,,18,18,,7.52,7.58
2025-12-16,96,29.5,,304,,25,,188,,,,7.19,4.1,,,,,,,,1000,,<0.5,13,,39.4,0.55,,18,18,,7.51,7.51
2025-12-17,95,25.2,,288,,24,,216,,,,4.89,93.3,,,,,,,,1000,,<0.5,12,,36.2,1.52,,26,25,,7.57,7.57
2025-12-18,97,30.6,,264,,11,,244,,,,8.33,21.8,,,,,,,,1000,,<0.5,9,,38.5,3.55,,14,14,,7.65,6.27
2025-12-19,93,36.6,,200,,31,,132,,,,7.15,<1.0,,,,,,,,1000,,<0.5,<12,,38,1.12,,13,12,,7.65,7.65
2025-12-20,88,33.2,,250,,25,,156,,,,8.28,3,,,,,,,,1000,,<0.5,13,,34.4,0.78,,13,11,,7.66,7.66
2025-12-21,95,37.7,,220,,18,,200,,,,7.96,7.3,,,,,,,,1000,,<0.5,12,,33.6,3.08,,13,12,,7.68,7.68
2025-12-22,100,40.1,,216,,19,,180,,,,8.48,980.4,,,,,,,,1000,,<0.5,50,,39.5,0.00,,10,10,,7.58,7.58
2025-12-23,86,35.1,,168,,11,,160,,,,6.68,31062,,,,,,,,1000,,<0.5,10,,39.9,3.01,,13,11,,6.60,6.60
2025-12-24,84,53.5,,214,,22,,156,,,,7.77,15,,,,,,,,1000,,<0.5,13,,43.3,0.82,,12,10,,7.75,7.75
2025-12-25,91,37.7,,191,,7,,94,,,,6.46,40000,,,,,,,,1000,,<0.5,<12,,33.6,2.70,,7,7,,7.62,7.62
2025-12-26,97,39.6,,156,,12,,90,,,,8.65,4.1,,,,,,,,1000,,<0.5,<12,,38.2,1.45,,5,5,,7.68,7.68
2025-12-27,91,35.9,,168,,16,,138,,,,8.45,41,,,,,,,,1000,,<0.5,9,,40.6,2.33,,8,7,,7.61,7.61
2025-12-28,97,28.9,,310,,18,,160,,,,8.68,50.5,,,,,,,,1000,,<0.5,13,,30.2,2.46,,17,16,,7.58,7.58
2025-12-29,99,24.7,,424,,29,,132,,,,6.55,151,,,,,,,,1000,,<0.5,42,,34.6,0.66,,30,30,,7.53,7.53
2025-12-30,93,18.9,,346,,25,,136,,,,6.91,31.8,,,,,,,,1000,,<0.5,18,,44.6,0.69,,29,27,,7.46,7.46
2025-12-31,93,21,,796,,34,,134,,,,4.95,>2419.6,,,,,,,,1000,,<0.5,,,37.4,2.36,,30,28,,7.42,7.42
2026-01-01,,40.8,,520,,,,175,,,,,81.3,,,,,,,,1000,,<0.5,25,,40.5,,,,,,7.70,7.65
2026-01-02,,36.6,,426,,,,152,,,,,12.2,,,,,,,,1000,,1,25,,40.5,,,,,,7.85,7.69
2026-01-03,,25.5,,272,,,,108,,,,,22.2,,,,,,,,1000,,<0.5,16,,42.5,,,,,,7.75,7.64
2026-01-04,,22,,155,,,,112,,,,,4.1,,,,,,,,1000,,<0.5,14,,42,,,,,,7.78,7.46
2026-01-05,,,,126,,,,108,,,,,3.1,,,,,,,,1000,,<0.5,<12,,,,,,,,7.78,7.65
2026-01-06,,,,170,,,,136,,,,,91.2,,,,,,,,1000,,<0.5,<12,,,,,,,,7.75,7.67
2026-01-07,,,,225,,,,104,,,,,20.9,,,,,,,,1000,,<0.5,,,,,,,,,,7.53
2026-01-08,,,,245,,,,114,,,,,9.2,,,,,,,,1000,,<0.5,,,,,,,,,,6.53
2026-01-09,,,,257,,,,123,,,,,4.1,,,,,,,,1000,,0.5,,,,,,,,,,7.56
