SampledDate,% Volatile Suspended Solids,Soluble BOD,Total Suspended Solids,Volatile Suspended Solids,pH
2025-11-19,96,345,197,190,7.20
2025-11-20,95,246,160,151,7.23
2025-11-21,86,173,372,320,7.12
2025-11-22,85,163,243,206,7.25
2025-11-23,93,183,151,141,7.60
2025-11-24,99,315,191,189,7.27
2025-11-25,95,292,260,246,7.15
2025-11-26,89,142,393,351,7.41
2025-11-27,89,200,324,290,7.56
2025-11-28,85,125,268,228,7.43
2025-11-29,95,144,307,291,7.70
2025-11-30,79,133,373,293,7.65
2025-12-01,80,332,890,715,7.51
2025-12-02,92,295,825,760,7.26
2025-12-03,83,305,375,313,7.50
2025-12-04,88,304,390,345,7.45
2025-12-05,92,197,450,415,7.66
2025-12-06,85,185,353,300,7.66
2025-12-07,89,139,358,318,7.71
2025-12-08,89,268,363,323,7.77
2025-12-09,91,335,542,494,7.61
2025-12-10,89,263,402,356,7.56
2025-12-11,82,325,564,460,7.49
2025-12-12,88,209,284,250,7.48
2025-12-13,96,186,238,228,7.53
2025-12-14,77,145,240,184,7.57
2025-12-15,88,106,131,115,7.50
2025-12-16,87,192,184,160,7.34
2025-12-17,86,272,208,178,7.32
2025-12-18,89,247,218,193,7.50
2025-12-19,95,214,280,265,7.54
2025-12-20,96,149,218,210,7.57
2025-12-21,83,202,134,112,7.48
2025-12-22,91,138,163,148,7.39
2025-12-23,91,154,316,288,7.56
2025-12-24,92,223,448,412,7.34
2025-12-25,86,137,143,123,7.47
2025-12-26,86,116,138,118,7.45
2025-12-27,87,>144,162,141,7.54
2025-12-28,87,96,138,120,7.45
2025-12-29,99,96,133,132,7.49
2025-12-30,95,90,153,146,7.46
2025-12-31,85,112,266,226,7.52
2026-01-01,82,281,149,121,7.66
2026-01-02,90,126,196,178,7.49
2026-01-03,93,91,210,195,7.37
2026-01-04,86,127,183,158,7.24
2026-01-05,88,121,179,158,7.50
2026-01-06,89,197,206,184,7.44
2026-01-07,83,,203,168,
2026-01-08,86,,173,149,
2026-01-09,96,,424,406,
