SampledDate,% Volatile Suspended Solids,Soluble BOD,Total Suspended Solids,Volatile Suspended Solids,pH
2025-11-08,98,428,272,265,6.47
2025-11-09,95,405,387,368,6.82
2025-11-10,97,466,238,230,6.75
2025-11-11,93,455,179,166,6.19
2025-11-12,99,476,128,126,6.64
2025-11-13,93,510,280,260,6.44
2025-11-14,94,520,172,162,6.43
2025-11-15,89,443,158,142,6.20
2025-11-16,90,530,105,94,6.21
2025-11-17,98,463,175,172,6.53
2025-11-18,92,552,227,208,6.80
2025-11-19,98,586,174,170,6.54
2025-11-20,97,624,159,154,6.27
2025-11-21,85,375,340,290,6.57
2025-11-22,89,364,215,192,6.51
2025-11-23,93,438,189,176,6.78
2025-11-24,97,435,254,246,6.98
2025-11-25,88,453,502,440,6.47
2025-11-26,90,302,313,281,6.82
2025-11-27,91,403,256,231,6.75
2025-11-28,94,371,193,181,6.59
2025-11-29,96,354,246,237,7.09
2025-11-30,84,316,320,270,7.05
2025-12-01,78,541,590,460,6.64
2025-12-02,84,392,1175,990,6.74
2025-12-03,93,524,308,286,6.60
2025-12-04,90,851,433,390,6.33
2025-12-05,90,378,245,222,6.75
2025-12-06,92,328,310,286,6.95
2025-12-07,95,247,483,460,7.36
2025-12-08,87,488,220,192,6.88
2025-12-09,93,564,808,752,6.77
2025-12-10,85,468,330,282,6.37
2025-12-11,88,517,398,352,6.50
2025-12-12,87,461,247,215,6.69
2025-12-13,98,416,161,158,6.69
2025-12-14,86,330,168,143,6.90
2025-12-15,86,293,157,136,7.04
2025-12-16,87,445,210,183,6.38
2025-12-17,92,539,200,183,6.56
2025-12-18,89,518,294,263,6.57
2025-12-19,99,417,201,199,6.74
2025-12-20,77,322,176,135,6.83
2025-12-21,75,460,142,106,6.80
2025-12-22,80,336,162,130,6.90
2025-12-23,93,463,211,196,6.76
2025-12-24,91,348,416,380,6.96
2025-12-25,93,406,106,99,6.83
2025-12-26,82,389,156,128,6.71
2025-12-27,94,>332,138,130,6.65
2025-12-28,89,268,142,127,6.82
2025-12-29,100,298,123,123,6.91
2025-12-30,92,305,110,101,6.70
2025-12-31,86,302,211,181,6.71
2026-01-01,83,240,131,109,7.31
2026-01-02,92,406,122,112,6.88
2026-01-03,92,261,153,140,6.87
2026-01-04,90,138,130,117,7.37
2026-01-05,97,369,108,105,6.74
2026-01-06,95,432,144,138,6.71
2026-01-07,89,,124,111,
2026-01-08,92,,138,126,
2026-01-09,96,,178,170,
