SampledDate,% Volatile Suspended Solids,Chemical Oxygen Demand,Soluble BOD,Total Suspended Solids,Volatile Suspended Solids,pH
2024-10-08,89,,366,185,164,7.11
2024-10-09,89,,427,174,155,6.80
2024-10-10,94,,476,149,140,7.21
2024-10-11,88,,421,186,164,7.27
2024-10-12,95,,339,163,154,7.32
2024-10-13,89,,307,220,196,7.34
2024-10-14,89,,392,261,233,7.16
2024-10-15,94,,326,252,237,7.07
2024-10-16,84,,322,263,220,7.17
2024-10-17,94,,370,274,259,7.21
2024-10-18,84,,251,250,209,7.34
2024-10-19,90,,293,280,252,7.45
2024-10-20,87,,272,264,230,7.30
2024-10-21,98,,181,194,190,7.20
2024-10-22,88,,328,233,204,7.23
2024-10-23,99,,308,130,129,7.28
2024-10-24,89,,396,345,308,7.23
2024-10-25,93,,414,234,219,6.96
2024-10-26,87,,271,237,207,6.85
2024-10-27,93,,296,246,228,7.20
2024-10-28,91,,391,246,224,7.01
2024-10-29,92,,218,239,220,7.33
2024-10-30,85,,131,205,175,7.32
2024-10-31,93,,134,147,137,7.20
2024-11-01,98,,96,184,180,6.98
2024-11-02,93,,110,188,174,7.34
2024-11-03,95,,210,151,144,7.07
2024-11-04,80,,194,185,148,7.05
2024-11-05,83,,334,199,165,6.91
2024-11-06,75,,190,201,151,6.43
2024-11-07,78,,215,245,190,6.99
2024-11-08,92,,245,256,236,7.09
2024-11-09,92,,239,293,270,7.15
2024-11-10,89,,236,307,273,7.16
2024-11-11,86,,253,340,292,7.30
2024-11-12,84,,41,376,316,7.57
2024-11-13,84,,395,310,262,6.95
2024-11-14,91,,78,154,140,7.37
2024-11-15,89,,202,266,236,7.05
2024-11-16,81,,297,217,176,6.99
2024-11-17,87,,199,362,316,7.38
2024-11-18,88,,210,366,320,7.33
2024-11-19,96,,297,236,227,6.92
2024-11-20,91,,290,417,378,6.82
2024-11-21,88,,363,378,332,6.88
2024-11-22,90,,365,283,256,7.06
2024-11-23,95,,300,219,207,7.21
2024-11-24,98,,411,209,204,6.75
2024-11-25,84,,268,276,233,7.15
2024-11-26,93,,227,286,266,7.21
2024-11-27,90,,352,237,214,6.98
2024-11-28,92,,324,306,280,7.03
2024-11-29,94,,99,217,204,7.46
2024-11-30,95,,186,333,318,7.35
2024-12-01,97,,432,245,238,7.21
2024-12-02,70,,311,268,188,7.10
2024-12-03,96,,253,273,263,7.22
2024-12-04,90,,266,230,208,6.99
2024-12-05,97,,287,267,258,6.20
2024-12-06,97,,307,343,333,7.05
2024-12-07,87,,358,172,150,7.06
2024-12-08,97,,502,185,179,6.86
2024-12-09,95,,199,267,253,6.70
2024-12-10,83,,129,198,164,6.99
2024-12-11,87,,179,230,201,7.26
2024-12-12,84,,242,340,284,7.11
2024-12-13,85,,208,261,223,7.13
2024-12-14,84,,258,284,240,7.10
2024-12-15,82,,368,478,390,6.76
2024-12-16,89,,170,180,160,7.10
2024-12-17,88,,238,229,200,6.85
2024-12-18,85,,347,240,203,6.83
2024-12-19,81,,210,217,176,6.98
2024-12-20,92,,321,229,210,6.78
2024-12-21,90,,164,268,242,7.74
2024-12-22,83,,154,400,332,7.24
2024-12-23,86,,295,294,252,7.20
2024-12-24,88,,178,360,316,7.48
2024-12-25,96,,134,252,242,7.37
2024-12-26,90,,243,220,199,7.32
2024-12-27,77,,170,346,266,7.24
2024-12-28,89,,225,213,190,7.07
2024-12-29,79,,169,218,172,7.06
2024-12-30,81,,144,156,126,7.00
2024-12-31,83,,128,139,116,7.23
2025-01-01,90,,126,230,206,7.42
2025-01-02,98,,254,208,204,7.06
2025-01-03,82,,322,243,198,6.99
2025-01-04,79,,174,279,221,7.23
2025-01-05,81,,380,398,320,7.00
2025-01-06,83,,242,322,268,6.96
2025-01-07,93,,216,320,296,6.96
2025-01-08,91,,257,334,304,6.92
2025-01-09,,,250,,,7.01
2025-01-10,82,,331,355,293,7.04
2025-01-11,78,,137,334,262,7.19
2025-01-12,82,,>351,750,617,6.74
2025-01-13,85,,227,286,242,7.01
2025-01-15,74,,,275,203,
2025-01-16,79,,,533,423,
2025-01-17,74,,,266,196,
2025-01-18,86,,264,450,388,6.85
2025-01-19,85,,,455,385,
2025-01-20,83,,,435,363,
2025-01-21,93,,,328,306,
2025-01-22,84,,,334,280,
2025-01-23,93,,,230,215,
2025-01-24,94,,,452,424,
2025-01-25,90,,,430,387,
2025-01-26,94,,,320,302,
2025-01-27,94,,,278,260,
2025-01-28,87,,241,308,268,6.97
2025-01-29,94,,330,404,380,6.99
2025-01-30,89,,521,410,365,6.92
2025-01-31,86,,,313,270,
2025-02-01,87,,,58,50,
2025-02-02,86,,,278,238,
2025-02-03,92,,236,284,262,6.63
2025-02-04,88,,235,276,244,6.80
2025-02-05,97,,,210,204,
2025-02-06,90,,,198,178,
2025-02-07,90,,,245,222,
2025-02-08,87,,,400,348,
2025-02-09,89,,,255,227,
2025-02-10,87,,,237,205,
2025-02-11,85,,,720,613,
2025-02-12,85,,,215,184,
2025-02-13,80,,235,324,258,6.62
2025-02-14,88,,,231,204,
2025-02-15,91,,,40,37,
2025-02-16,66,,,123,81,
2025-02-17,77,,,172,133,
2025-02-18,89,,206,82,73,6.25
2025-02-19,91,,351,94,86,6.68
2025-02-20,92,,162,101,93,6.65
2025-02-21,65,,186,269,176,6.38
2025-02-22,68,,442,404,276,6.09
2025-02-23,60,,144,364,220,6.70
2025-02-24,85,,,215,184,
2025-02-25,96,,187,200,192,6.71
2025-02-26,89,,303,226,201,6.64
2025-02-27,91,,304,245,223,6.18
2025-02-28,97,,,207,200,
2025-03-01,88,,,313,276,
2025-03-02,89,,,218,194,
2025-03-03,,,299,,,6.75
2025-03-04,91,,236,270,245,6.74
2025-03-05,97,,240,364,352,6.62
2025-03-06,87,,367,373,325,6.80
2025-03-07,91,,,202,183,
2025-03-08,93,,,190,177,
2025-03-09,93,,,228,213,
2025-03-10,108,,154,282,242,6.81
2025-03-11,88,,414,528,464,6.59
2025-03-12,97,,258,348,336,7.02
2025-03-13,94,,284,251,236,6.90
2025-03-14,73,,,268,197,
2025-03-15,80,,,181,144,
2025-03-16,76,,,191,145,
2025-03-17,92,,,260,238,
2025-03-18,73,,239,454,330,7.24
2025-03-19,92,,,320,294,
2025-03-20,88.32116788,,,274,242,
2025-03-21,98,,,212,207,
2025-03-22,98,,,255,250,
2025-03-23,94,,136,210,197,6.38
2025-03-24,83,,364,209,174,6.57
2025-03-25,96,,133,166,160,7.13
2025-03-26,86,,260,1215,1040,6.87
2025-03-27,81,,275,312,253,7.24
2025-03-28,82,,,310,254,
2025-03-29,89,,206,250,222,7.00
2025-03-30,83,,168,338,280,7.12
2025-03-31,84,,290,316,266,6.47
2025-04-01,95,,240,305,290,7.33
2025-04-02,88,,247,383,335,6.88
2025-04-03,93,,<60,485,450,7.28
2025-04-04,84,,<23,150,126,7.25
2025-04-05,79,,>36,176,139,7.54
2025-04-06,82,,11,555,457,7.25
2025-04-07,65,,46,163,106,7.35
2025-04-08,78,,34,235,183,7.11
2025-04-09,79,,29.4,154,122,7.62
2025-04-10,79,,43,194,153,7.69
2025-04-11,79,,75,187,147,7.58
2025-04-12,84,,96,232,196,7.52
2025-04-13,86,,,265,228,
2025-04-14,84,,127,248,208,7.45
2025-04-15,72,,110,647,463,7.64
2025-04-16,76,,174,433,328,7.04
2025-04-17,73,,,301,221,
2025-04-18,79,,,543,430,
2025-04-19,87,,,430,373,
2025-04-20,83,,,348,288,
2025-04-21,86,,320,363,313,7.42
2025-04-22,88,,65,358,316,7.42
2025-04-23,67,1096,124,553,370,6.57
2025-04-24,85,944,133,487,413,7.44
2025-04-25,83,307,101,310,258,7.75
2025-04-26,76,,,448,340,
2025-04-27,84,,,446,374,
2025-04-28,78,737,51,294,230,7.29
2025-04-29,84,628,90,278,234,7.81
2025-04-30,78,,48,372,290,7.89
2025-05-01,87,826,45,316,276,7.90
2025-05-02,87,,86,316,276,7.83
2025-05-03,79,,,455,358,
2025-05-04,90,626,125,283,254,7.73
2025-05-05,88,696,61,289,254,7.82
2025-05-06,91,713,103,256,234,7.81
2025-05-07,85,550,<60,308,263,7.35
2025-05-08,72,490,<60,304,218,7.49
2025-05-09,77,1384,97,378,290,7.72
2025-05-10,86,1084,,390,335,
2025-05-11,86,628,,313,270,
2025-05-12,74,1089,68,733,543,7.27
2025-05-13,85,390,91,193,165,7.28
2025-05-14,73,,<35,171,126,7.73
2025-05-15,80,,162,532,426,7.55
2025-05-16,76,969,37,246,187,7.79
2025-05-17,86,,,338,290,
2025-05-18,80,1081,,253,201,
2025-05-19,65,502,119,296,191,6.50
2025-05-20,72,663,92,218,156,7.21
2025-05-21,77,328,168,155,120,7.11
2025-05-22,91,345,222,178,162,7.74
2025-05-23,76,,48,457,347,7.80
2025-05-24,81,,,354,288,
2025-05-25,,953,,,,
2025-05-26,71,901,,186,132,
2025-05-27,82,186,162,105,85,7.35
2025-05-28,88,388,25,251,221,7.78
2025-05-29,,,98,,,7.53
2025-05-30,76,,,220,168,
2025-05-31,82,,,94,77,
2025-06-01,86,,,303,260,
