SampledDate,% Volatile Suspended Solids,Biochemical Oxygen Demand,Soluble BOD,TSS - Change in Wt,Total Suspended Solids,Volatile Suspended Solids,pH
2025-11-20,90,569,631,0.00,175,157,7.48
2025-11-21,86,411,323,2.20,182,156,6.34
2025-11-22,88,468,442,3.14,318,280,6.39
2025-11-23,91,548,476,0.56,221,201,6.45
2025-11-24,98,578,485,2.59,331,326,6.14
2025-11-25,93,512,482,0.55,305,283,6.21
2025-11-26,72,396,294,0.83,346,249,6.49
2025-11-27,90,428                      ,438,3.03,283,254,6.39
2025-11-28,93,412,311,1.19,181,168,6.44
2025-11-29,95,414,314,0.46,274,259,6.48
2025-11-30,97,558,329,2.41,415,403,6.23
2025-12-01,96,764,538,1.92,693,663,6.27
2025-12-02,97,664,443,2.33,573,553,6.21
2025-12-03,92,701,494,3.50,477,437,6.06
2025-12-04,87,629,>648,3.85,390,338,6.23
2025-12-05,90,493,362,2.60,257,232,6.38
2025-12-06,89,340,288,0.00,280,248,6.51
2025-12-07,93,519,250,4.17,480,445,6.31
2025-12-08,89,610,448,0.00,253,227,6.31
2025-12-09,84,526,648,0.85,468,392,6.33
2025-12-10,85,515,492,1.22,328,280,6.18
2025-12-11,91,654,589,0.68,294,268,6.24
2025-12-12,79,489,413,3.40,245,193,6.35
2025-12-13,98,436,367,2.33,161,159,6.22
2025-12-14,96,414,356,1.19,168,161,6.54
2025-12-15,81,332,264,2.88,154,126,6.53
2025-12-16,89,440,426,1.68,149,133,6.27
2025-12-17,87,578,466,0.00,200,173,6.26
2025-12-18,89,550,444,1.69,236,210,6.27
2025-12-19,85,554,426,0.00,177,151,6.47
2025-12-20,97,377,375,1.30,193,188,6.51
2025-12-21,85,421,488,1.30,128,109,6.27
2025-12-22,100,367,315,2.07,121,121,6.89
2025-12-23,94,482,450,3.29,213,200,6.19
2025-12-24,86,449,247,3.70,162,140,6.72
2025-12-25,92,413,347,0.58,143,132,6.36
2025-12-26,94,333,320,1.32,117,110,6.32
2025-12-27,85,654,,1.68,138,117,6.30
2025-12-28,95,401,292,1.69,148,140,6.38
2025-12-29,100,370,280,2.16,139,139,6.51
2025-12-30,92,373,296,2.10,95,87,6.70
2025-12-31,89,364,,0.81,246,219,6.44
2026-01-01,,,320,,,,7.21
2026-01-02,,,416,,,,6.91
2026-01-03,,,271,,,,6.87
2026-01-04,,,14,,,,7.06
2026-01-05,,,327,,,,6.72
2026-01-06,,,388,,,,6.72
