SampleName,StartDate,EndDate
TEM ABF Effluent (04-01-2026),4/1/2026,4/30/2026

SampleNumber,SampleName1,SampledDate,Parameter,SWPPRCalc,ReportedResult,Qual,Unit
ST26APR19-01-033 ,TEM ABF Effluent (04-18-2026),4/18/2026,Volatile Suspended Solids,250,250,,mg/L
ST26APR19-01-033 ,TEM ABF Effluent (04-18-2026),4/18/2026,Biochemical Oxygen Demand,117,117,,mg/L
ST26APR19-01-033 ,TEM ABF Effluent (04-18-2026),4/18/2026,pH,7.37,7.37,,pH Units
ST26APR19-01-033 ,TEM ABF Effluent (04-18-2026),4/18/2026,Soluble COD,284,284,,mg/L
ST26APR20-01-034 ,TEM ABF Effluent (04-19-2026),4/19/2026,% Volatile Suspended Solids,77,77,,%
ST26APR20-01-034 ,TEM ABF Effluent (04-19-2026),4/19/2026,Total Suspended Solids,157,157,,mg/L
ST26APR20-01-034 ,TEM ABF Effluent (04-19-2026),4/19/2026,Volatile Suspended Solids,121,121,,mg/L
ST26APR20-01-034 ,TEM ABF Effluent (04-19-2026),4/19/2026,Soluble COD,253,253,,mg/L
ST26APR20-01-034 ,TEM ABF Effluent (04-19-2026),4/19/2026,Biochemical Oxygen Demand,91,91,,mg/L
ST26APR20-01-034 ,TEM ABF Effluent (04-19-2026),4/19/2026,pH,7.42,7.42,,pH Units
ST26APR21-01-034 ,TEM ABF Effluent (04-20-2026),4/20/2026,% Volatile Suspended Solids,79,79,,%
ST26APR21-01-034 ,TEM ABF Effluent (04-20-2026),4/20/2026,Total Suspended Solids,183,183,,mg/L
ST26APR21-01-034 ,TEM ABF Effluent (04-20-2026),4/20/2026,Volatile Suspended Solids,145,145,,mg/L
ST26APR21-01-034 ,TEM ABF Effluent (04-20-2026),4/20/2026,Soluble COD,213,213,,mg/L
ST26APR21-01-034 ,TEM ABF Effluent (04-20-2026),4/20/2026,Biochemical Oxygen Demand,114,114,,mg/L
ST26APR21-01-034 ,TEM ABF Effluent (04-20-2026),4/20/2026,pH,7.22,7.22,,pH Units
ST26APR22-01-034 ,TEM ABF Effluent (04-21-2026),4/21/2026,% Volatile Suspended Solids,80,80,,%
ST26APR22-01-034 ,TEM ABF Effluent (04-21-2026),4/21/2026,Total Suspended Solids,272,272,,mg/L
ST26APR22-01-034 ,TEM ABF Effluent (04-21-2026),4/21/2026,Volatile Suspended Solids,218,218,,mg/L
ST26APR22-01-034 ,TEM ABF Effluent (04-21-2026),4/21/2026,Soluble COD,329,329,,mg/L
ST26APR22-01-034 ,TEM ABF Effluent (04-21-2026),4/21/2026,Biochemical Oxygen Demand,179,179,,mg/L
ST26APR22-01-034 ,TEM ABF Effluent (04-21-2026),4/21/2026,pH,7.34,7.34,,pH Units
ST26APR23-01-036 ,TEM ABF Effluent (04-22-2026),4/22/2026,% Volatile Suspended Solids,86,86,,%
ST26APR23-01-036 ,TEM ABF Effluent (04-22-2026),4/22/2026,Total Suspended Solids,229,229,,mg/L
ST26APR23-01-036 ,TEM ABF Effluent (04-22-2026),4/22/2026,Volatile Suspended Solids,198,198,,mg/L
ST26APR23-01-036 ,TEM ABF Effluent (04-22-2026),4/22/2026,Soluble COD,361,361,,mg/L
ST26APR23-01-036 ,TEM ABF Effluent (04-22-2026),4/22/2026,Biochemical Oxygen Demand,178,178,,mg/L
ST26APR23-01-036 ,TEM ABF Effluent (04-22-2026),4/22/2026,pH,7.40,7.40,,pH Units
ST26APR24-01-034 ,TEM ABF Effluent (04-23-2026),4/23/2026,% Volatile Suspended Solids,88,88,,%
ST26APR24-01-034 ,TEM ABF Effluent (04-23-2026),4/23/2026,Total Suspended Solids,300,300,,mg/L
ST26APR24-01-034 ,TEM ABF Effluent (04-23-2026),4/23/2026,Volatile Suspended Solids,263,263,,mg/L
ST26APR24-01-034 ,TEM ABF Effluent (04-23-2026),4/23/2026,Soluble COD,359,359,,mg/L
ST26APR24-01-034 ,TEM ABF Effluent (04-23-2026),4/23/2026,Biochemical Oxygen Demand,210,210,,mg/L
ST26APR24-01-034 ,TEM ABF Effluent (04-23-2026),4/23/2026,pH,7.40,7.40,,pH Units
ST26APR25-01-033 ,TEM ABF Effluent (04-24-2026),4/24/2026,% Volatile Suspended Solids,87,87,,%
ST26APR25-01-033 ,TEM ABF Effluent (04-24-2026),4/24/2026,Total Suspended Solids,89,89,,mg/L
ST26APR25-01-033 ,TEM ABF Effluent (04-24-2026),4/24/2026,Volatile Suspended Solids,77,77,,mg/L
ST26APR25-01-033 ,TEM ABF Effluent (04-24-2026),4/24/2026,Biochemical Oxygen Demand,125,125,,mg/L
ST26APR25-01-033 ,TEM ABF Effluent (04-24-2026),4/24/2026,pH,7.22,7.22,,pH Units
ST26APR25-01-033 ,TEM ABF Effluent (04-24-2026),4/24/2026,Soluble COD,308,308,,mg/L
ST26APR26-03-033 ,TEM ABF Effluent (04-25-2026),4/25/2026,% Volatile Suspended Solids,79,79,,%
ST26APR26-03-033 ,TEM ABF Effluent (04-25-2026),4/25/2026,Total Suspended Solids,155,155,,mg/L
ST26APR26-03-033 ,TEM ABF Effluent (04-25-2026),4/25/2026,Volatile Suspended Solids,123,123,,mg/L
ST26APR26-03-033 ,TEM ABF Effluent (04-25-2026),4/25/2026,Biochemical Oxygen Demand,106,106,,mg/L
ST26APR26-03-033 ,TEM ABF Effluent (04-25-2026),4/25/2026,pH,7.25,7.25,,pH Units
ST26APR26-03-033 ,TEM ABF Effluent (04-25-2026),4/25/2026,Soluble COD,229,229,,mg/L
ST26APR27-01-034 ,TEM ABF Effluent (04-26-2026),4/26/2026,% Volatile Suspended Solids,87,87,,%
ST26APR27-01-034 ,TEM ABF Effluent (04-26-2026),4/26/2026,Total Suspended Solids,142,142,,mg/L
ST26APR27-01-034 ,TEM ABF Effluent (04-26-2026),4/26/2026,Volatile Suspended Solids,124,124,,mg/L
ST26APR27-01-034 ,TEM ABF Effluent (04-26-2026),4/26/2026,Soluble COD,292,292,,mg/L
ST26APR27-01-034 ,TEM ABF Effluent (04-26-2026),4/26/2026,Biochemical Oxygen Demand,93,93,,mg/L
ST26APR27-01-034 ,TEM ABF Effluent (04-26-2026),4/26/2026,pH,7.48,7.48,,pH Units
ST26APR28-01-034 ,TEM ABF Effluent (04-27-2026),4/27/2026,% Volatile Suspended Solids,91,91,,%
ST26APR28-01-034 ,TEM ABF Effluent (04-27-2026),4/27/2026,Total Suspended Solids,153,153,,mg/L
ST26APR28-01-034 ,TEM ABF Effluent (04-27-2026),4/27/2026,Volatile Suspended Solids,139,139,,mg/L
ST26APR28-01-034 ,TEM ABF Effluent (04-27-2026),4/27/2026,Soluble COD,281,281,,mg/L
ST26APR28-01-034 ,TEM ABF Effluent (04-27-2026),4/27/2026,Biochemical Oxygen Demand,134,134,,mg/L
ST26APR28-01-034 ,TEM ABF Effluent (04-27-2026),4/27/2026,pH,7.49,7.49,,pH Units
ST26APR29-01-034 ,TEM ABF Effluent (04-28-2026),4/28/2026,Soluble COD,322,322,,mg/L
ST26APR29-01-034 ,TEM ABF Effluent (04-28-2026),4/28/2026,Biochemical Oxygen Demand,219,219,,mg/L
ST26APR29-01-034 ,TEM ABF Effluent (04-28-2026),4/28/2026,pH,7.33,7.33,,pH Units
ST26APR29-01-034 ,TEM ABF Effluent (04-28-2026),4/28/2026,% Volatile Suspended Solids,88,88,,%
ST26APR29-01-034 ,TEM ABF Effluent (04-28-2026),4/28/2026,Total Suspended Solids,137,137,,mg/L
ST26APR29-01-034 ,TEM ABF Effluent (04-28-2026),4/28/2026,Volatile Suspended Solids,120,120,,mg/L
ST26APR30-01-036 ,TEM ABF Effluent (04-29-2026),4/29/2026,% Volatile Suspended Solids,83,83,,%
ST26APR30-01-036 ,TEM ABF Effluent (04-29-2026),4/29/2026,Total Suspended Solids,120,120,,mg/L
ST26APR30-01-036 ,TEM ABF Effluent (04-29-2026),4/29/2026,Volatile Suspended Solids,100,100,,mg/L
ST26APR30-01-036 ,TEM ABF Effluent (04-29-2026),4/29/2026,Soluble COD,301,301,,mg/L
ST26MAY01-06-034 ,TEM ABF Effluent (04-30-2026),4/30/2026,% Volatile Suspended Solids,76,76,,%
ST26MAY01-06-034 ,TEM ABF Effluent (04-30-2026),4/30/2026,Total Suspended Solids,137,137,,mg/L
ST26MAY01-06-034 ,TEM ABF Effluent (04-30-2026),4/30/2026,Volatile Suspended Solids,104,104,,mg/L
ST26MAY01-06-034 ,TEM ABF Effluent (04-30-2026),4/30/2026,Soluble COD,204,204,,mg/L

