SampleName,StartDate,EndDate
TEM ABF Effluent (TF 1) (08-01-2025),8/1/2025,1/9/2026

SampleNumber,SampleName1,SampledDate,Parameter,SWPPRCalc,ReportedResult,Qual,Unit
ST25AUG04-01-034 ,TEM ABF Effluent (08-03-2025),8/3/2025,pH,7.63,7.63,,pH Units
ST25AUG04-01-034 ,TEM ABF Effluent (08-03-2025),8/3/2025,Soluble BOD,77,77,,mg/L
ST25AUG05-01-034 ,TEM ABF Effluent (08-04-2025),8/4/2025,% Volatile Suspended Solids,98,98,,%
ST25AUG05-01-034 ,TEM ABF Effluent (08-04-2025),8/4/2025,Total Suspended Solids,216,216,,mg/L
ST25AUG05-01-034 ,TEM ABF Effluent (08-04-2025),8/4/2025,Volatile Suspended Solids,213,213,,mg/L
ST25AUG05-01-034 ,TEM ABF Effluent (08-04-2025),8/4/2025,pH,7.54,7.54,,pH Units
ST25AUG05-01-034 ,TEM ABF Effluent (08-04-2025),8/4/2025,Soluble BOD,82,82,,mg/L
ST25AUG04-01-039,TEM ABF Effluent (tf 1) (08-04-2025),8/4/2025,pH,7.64,7.64,,pH Units
ST25AUG04-01-039,TEM ABF Effluent (tf 1) (08-04-2025),8/4/2025,Soluble BOD,89,89,,mg/L
ST25AUG05-01-036,TEM ABF Effluent (TF-1) (08-05-2025),8/5/2025,pH,7.68,7.68,,pH Units
ST25AUG05-01-036,TEM ABF Effluent (TF-1) (08-05-2025),8/5/2025,Soluble BOD,41,41,,mg/L
ST25AUG06-01-034 ,TEM ABF Effluent (08-05-2025),8/5/2025,% Volatile Suspended Solids,90,90,,%
ST25AUG06-01-034 ,TEM ABF Effluent (08-05-2025),8/5/2025,Total Suspended Solids,313,313,,mg/L
ST25AUG06-01-034 ,TEM ABF Effluent (08-05-2025),8/5/2025,Volatile Suspended Solids,282,282,,mg/L
ST25AUG06-01-034 ,TEM ABF Effluent (08-05-2025),8/5/2025,pH,7.69,7.69,,pH Units
ST25AUG06-01-034 ,TEM ABF Effluent (08-05-2025),8/5/2025,Soluble BOD,103,103,,mg/L
ST25AUG07-01-036 ,TEM ABF Effluent (08-06-2025),8/6/2025,pH,7.68,7.68,,pH Units
ST25AUG07-01-036 ,TEM ABF Effluent (08-06-2025),8/6/2025,Soluble BOD,56,56,,mg/L
ST25AUG07-01-036 ,TEM ABF Effluent (08-06-2025),8/6/2025,% Volatile Suspended Solids,94,94,,%
ST25AUG07-01-036 ,TEM ABF Effluent (08-06-2025),8/6/2025,Total Suspended Solids,251,251,,mg/L
ST25AUG07-01-036 ,TEM ABF Effluent (08-06-2025),8/6/2025,Volatile Suspended Solids,235,235,,mg/L
ST25AUG06-01-036,TEM ABF Effluent (TF-1) (08-06-2025),8/6/2025,pH,7.90,7.90,,pH Units
ST25AUG06-01-036,TEM ABF Effluent (TF-1) (08-06-2025),8/6/2025,Soluble BOD,72,72,,mg/L
ST25AUG07-01-038,TEM ABF Effluent (TF-1) (08-07-2025),8/7/2025,pH,7.89,7.89,,pH Units
ST25AUG07-01-038,TEM ABF Effluent (TF-1) (08-07-2025),8/7/2025,Soluble BOD,73,73,,mg/L
ST25AUG08-01-034 ,TEM ABF Effluent (08-07-2025),8/7/2025,% Volatile Suspended Solids,88,88,,%
ST25AUG08-01-034 ,TEM ABF Effluent (08-07-2025),8/7/2025,Total Suspended Solids,176,176,,mg/L
ST25AUG08-01-034 ,TEM ABF Effluent (08-07-2025),8/7/2025,Volatile Suspended Solids,155,155,,mg/L
ST25AUG08-01-034 ,TEM ABF Effluent (08-07-2025),8/7/2025,pH,6.46,6.46,,pH Units
ST25AUG08-01-034 ,TEM ABF Effluent (08-07-2025),8/7/2025,Soluble BOD,78,78,,mg/L
ST25AUG08-01-036,TEM ABF Effluent (eff tf 1) (08-08-2025),8/8/2025,pH,7.77,7.77,,pH Units
ST25AUG08-01-036,TEM ABF Effluent (eff tf 1) (08-08-2025),8/8/2025,Soluble BOD,128,128,,mg/L
ST25AUG09-02-033 ,TEM ABF Effluent (08-08-2025),8/8/2025,% Volatile Suspended Solids,92,92,,%
ST25AUG09-02-033 ,TEM ABF Effluent (08-08-2025),8/8/2025,Total Suspended Solids,233,233,,mg/L
ST25AUG09-02-033 ,TEM ABF Effluent (08-08-2025),8/8/2025,Volatile Suspended Solids,215,215,,mg/L
ST25AUG09-02-033 ,TEM ABF Effluent (08-08-2025),8/8/2025,pH,7.64,7.64,,pH Units
ST25AUG09-02-033 ,TEM ABF Effluent (08-08-2025),8/8/2025,Soluble BOD,152,152,,mg/L
ST25AUG10-02-033 ,TEM ABF Effluent (08-09-2025),8/9/2025,% Volatile Suspended Solids,86,86,,%
ST25AUG10-02-033 ,TEM ABF Effluent (08-09-2025),8/9/2025,Total Suspended Solids,243,243,,mg/L
ST25AUG10-02-033 ,TEM ABF Effluent (08-09-2025),8/9/2025,Volatile Suspended Solids,208,208,,mg/L
ST25AUG10-02-033 ,TEM ABF Effluent (08-09-2025),8/9/2025,pH,7.47,7.47,,pH Units
ST25AUG10-02-033 ,TEM ABF Effluent (08-09-2025),8/9/2025,Soluble BOD,60,60,,mg/L
ST25AUG11-01-034 ,TEM ABF Effluent (08-10-2025),8/10/2025,% Volatile Suspended Solids,93,93,,%
ST25AUG11-01-034 ,TEM ABF Effluent (08-10-2025),8/10/2025,Total Suspended Solids,274,274,,mg/L
ST25AUG11-01-034 ,TEM ABF Effluent (08-10-2025),8/10/2025,Volatile Suspended Solids,256,256,,mg/L
ST25AUG11-01-034 ,TEM ABF Effluent (08-10-2025),8/10/2025,pH,7.62,7.62,,pH Units
ST25AUG11-01-034 ,TEM ABF Effluent (08-10-2025),8/10/2025,Soluble BOD,<60,<60,,mg/L
ST25AUG11-01-039,TEM ABF Effluent (TF-1) (08-11-2025),8/11/2025,pH,7.88,7.88,,pH Units
ST25AUG11-01-039,TEM ABF Effluent (TF-1) (08-11-2025),8/11/2025,Soluble BOD,45,45,,mg/L
ST25AUG12-01-034 ,TEM ABF Effluent (08-11-2025),8/11/2025,% Volatile Suspended Solids,92,92,,%
ST25AUG12-01-034 ,TEM ABF Effluent (08-11-2025),8/11/2025,Total Suspended Solids,288,288,,mg/L
ST25AUG12-01-034 ,TEM ABF Effluent (08-11-2025),8/11/2025,Volatile Suspended Solids,266,266,,mg/L
ST25AUG12-01-034 ,TEM ABF Effluent (08-11-2025),8/11/2025,pH,7.68,7.68,,pH Units
ST25AUG12-01-034 ,TEM ABF Effluent (08-11-2025),8/11/2025,Soluble BOD,48,48,,mg/L
ST25AUG12-01-036,TEM ABF Effluent (TF 1) (08-12-2025),8/12/2025,pH,7.87,7.87,,pH Units
ST25AUG12-01-036,TEM ABF Effluent (TF 1) (08-12-2025),8/12/2025,Soluble BOD,57,57,,mg/L
ST25AUG13-01-034 ,TEM ABF Effluent (08-12-2025),8/12/2025,pH,7.65,7.65,,pH Units
ST25AUG13-01-034 ,TEM ABF Effluent (08-12-2025),8/12/2025,Soluble BOD,54,54,,mg/L
ST25AUG13-01-034 ,TEM ABF Effluent (08-12-2025),8/12/2025,% Volatile Suspended Solids,95,95,,%
ST25AUG13-01-034 ,TEM ABF Effluent (08-12-2025),8/12/2025,Total Suspended Solids,328,328,,mg/L
ST25AUG13-01-034 ,TEM ABF Effluent (08-12-2025),8/12/2025,Volatile Suspended Solids,310,310,,mg/L
ST25AUG13-01-036,TEM ABF Effluent (TF 1) (08-13-2025),8/13/2025,pH,7.79,7.79,,pH Units
ST25AUG13-01-036,TEM ABF Effluent (TF 1) (08-13-2025),8/13/2025,Soluble BOD,51,51,,mg/L
ST25AUG14-01-039,TEM ABF Effluent (08-13-2025),8/13/2025,pH,7.68,7.68,,pH Units
ST25AUG14-01-039,TEM ABF Effluent (08-13-2025),8/13/2025,Soluble BOD,71,71,,mg/L
ST25AUG14-01-039,TEM ABF Effluent (08-13-2025),8/13/2025,% Volatile Suspended Solids,93,93,,%
ST25AUG14-01-039,TEM ABF Effluent (08-13-2025),8/13/2025,Total Suspended Solids,2170,2170,,mg/L
ST25AUG14-01-039,TEM ABF Effluent (08-13-2025),8/13/2025,Volatile Suspended Solids,2015,2015,,mg/L
ST25AUG14-01-038,TEM ABF Effluent (TF 1) (08-14-2025),8/14/2025,pH,7.71,7.71,,pH Units
ST25AUG14-01-038,TEM ABF Effluent (TF 1) (08-14-2025),8/14/2025,Soluble BOD,62,62,,mg/L
ST25AUG15-01-034 ,TEM ABF Effluent (08-14-2025),8/14/2025,% Volatile Suspended Solids,92,92,,%
ST25AUG15-01-034 ,TEM ABF Effluent (08-14-2025),8/14/2025,Total Suspended Solids,239,239,,mg/L
ST25AUG15-01-034 ,TEM ABF Effluent (08-14-2025),8/14/2025,Volatile Suspended Solids,220,220,,mg/L
ST25AUG15-01-034 ,TEM ABF Effluent (08-14-2025),8/14/2025,pH,7.63,7.63,,pH Units
ST25AUG15-01-034 ,TEM ABF Effluent (08-14-2025),8/14/2025,Soluble BOD,<60,<60,,mg/L
ST25AUG15-01-036,TEM ABF Effluent (TF-1) (08-15-2025),8/15/2025,pH,7.80,7.80,,pH Units
ST25AUG15-01-036,TEM ABF Effluent (TF-1) (08-15-2025),8/15/2025,Soluble BOD,63,63,,mg/L
ST25AUG16-02-033 ,TEM ABF Effluent (08-15-2025),8/15/2025,% Volatile Suspended Solids,93,93,,%
ST25AUG16-02-033 ,TEM ABF Effluent (08-15-2025),8/15/2025,Total Suspended Solids,205,205,,mg/L
ST25AUG16-02-033 ,TEM ABF Effluent (08-15-2025),8/15/2025,Volatile Suspended Solids,191,191,,mg/L
ST25AUG16-02-033 ,TEM ABF Effluent (08-15-2025),8/15/2025,pH,7.55,7.55,,pH Units
ST25AUG16-02-033 ,TEM ABF Effluent (08-15-2025),8/15/2025,Soluble BOD,40,40,,mg/L
ST25AUG17-02-033 ,TEM ABF Effluent (08-16-2025),8/16/2025,% Volatile Suspended Solids,86,86,,%
ST25AUG17-02-033 ,TEM ABF Effluent (08-16-2025),8/16/2025,Total Suspended Solids,313,313,,mg/L
ST25AUG17-02-033 ,TEM ABF Effluent (08-16-2025),8/16/2025,Volatile Suspended Solids,270,270,,mg/L
ST25AUG17-02-033 ,TEM ABF Effluent (08-16-2025),8/16/2025,pH,7.59,7.59,,pH Units
ST25AUG17-02-033 ,TEM ABF Effluent (08-16-2025),8/16/2025,Soluble BOD,48,48,,mg/L
ST25AUG18-01-034 ,TEM ABF Effluent (08-17-2025),8/17/2025,% Volatile Suspended Solids,90,90,,%
ST25AUG18-01-034 ,TEM ABF Effluent (08-17-2025),8/17/2025,Total Suspended Solids,176,176,,mg/L
ST25AUG18-01-034 ,TEM ABF Effluent (08-17-2025),8/17/2025,Volatile Suspended Solids,158,158,,mg/L
ST25AUG18-01-034 ,TEM ABF Effluent (08-17-2025),8/17/2025,pH,7.49,7.49,,pH Units
ST25AUG18-01-034 ,TEM ABF Effluent (08-17-2025),8/17/2025,Soluble BOD,72,72,,mg/L
ST25AUG19-01-034 ,TEM ABF Effluent (08-18-2025),8/18/2025,% Volatile Suspended Solids,99,99,,%
ST25AUG19-01-034 ,TEM ABF Effluent (08-18-2025),8/18/2025,Total Suspended Solids,239,239,,mg/L
ST25AUG19-01-034 ,TEM ABF Effluent (08-18-2025),8/18/2025,Volatile Suspended Solids,237,237,,mg/L
ST25AUG19-01-034 ,TEM ABF Effluent (08-18-2025),8/18/2025,pH,7.14,7.14,,pH Units
ST25AUG19-01-034 ,TEM ABF Effluent (08-18-2025),8/18/2025,Soluble BOD,249,249,,mg/L
ST25AUG18-01-039,TEM ABF Effluent (TF-1) (08-18-2025),8/18/2025,pH,7.79,7.79,,pH Units
ST25AUG18-01-039,TEM ABF Effluent (TF-1) (08-18-2025),8/18/2025,Soluble BOD,336,336,,mg/L
ST25AUG19-01-036,TEM ABF Effluent (TF-1) (08-19-2025),8/19/2025,pH,7.77,7.77,,pH Units
ST25AUG19-01-036,TEM ABF Effluent (TF-1) (08-19-2025),8/19/2025,Soluble BOD,68,68,,mg/L
ST25AUG20-01-034 ,TEM ABF Effluent (08-19-2025),8/19/2025,% Volatile Suspended Solids,86,86,,%
ST25AUG20-01-034 ,TEM ABF Effluent (08-19-2025),8/19/2025,Total Suspended Solids,347,347,,mg/L
ST25AUG20-01-034 ,TEM ABF Effluent (08-19-2025),8/19/2025,Volatile Suspended Solids,297,297,,mg/L
ST25AUG20-01-034 ,TEM ABF Effluent (08-19-2025),8/19/2025,pH,7.47,7.47,,pH Units
ST25AUG20-01-034 ,TEM ABF Effluent (08-19-2025),8/19/2025,Soluble BOD,48,48,,mg/L
ST25AUG20-01-036,TEM ABF Effluent (TF 1) (08-20-2025),8/20/2025,pH,7.74,7.74,,pH Units
ST25AUG20-01-036,TEM ABF Effluent (TF 1) (08-20-2025),8/20/2025,Soluble BOD,46,46,,mg/L
ST25AUG21-01-036 ,TEM ABF Effluent (08-20-2025),8/20/2025,pH,7.77,7.77,,pH Units
ST25AUG21-01-036 ,TEM ABF Effluent (08-20-2025),8/20/2025,Soluble BOD,<60,<60,,mg/L
ST25AUG21-01-036 ,TEM ABF Effluent (08-20-2025),8/20/2025,% Volatile Suspended Solids,93,93,,%
ST25AUG21-01-036 ,TEM ABF Effluent (08-20-2025),8/20/2025,Total Suspended Solids,401,401,,mg/L
ST25AUG21-01-036 ,TEM ABF Effluent (08-20-2025),8/20/2025,Volatile Suspended Solids,373,373,,mg/L
ST25AUG21-01-038,TEM ABF Effluent (TF-1) (08-21-2025),8/21/2025,pH,7.69,7.69,,pH Units
ST25AUG21-01-038,TEM ABF Effluent (TF-1) (08-21-2025),8/21/2025,Soluble BOD,73,73,,mg/L
ST25AUG22-01-034 ,TEM ABF Effluent (08-21-2025),8/21/2025,% Volatile Suspended Solids,94,94,,%
ST25AUG22-01-034 ,TEM ABF Effluent (08-21-2025),8/21/2025,Total Suspended Solids,283,283,,mg/L
ST25AUG22-01-034 ,TEM ABF Effluent (08-21-2025),8/21/2025,Volatile Suspended Solids,265,265,,mg/L
ST25AUG22-01-034 ,TEM ABF Effluent (08-21-2025),8/21/2025,pH,7.59,7.59,,pH Units
ST25AUG22-01-034 ,TEM ABF Effluent (08-21-2025),8/21/2025,Soluble BOD,101,101,,mg/L
ST25AUG22-01-036,TEM ABF Effluent (TF-1) (08-22-2025),8/22/2025,pH,7.49,7.49,,pH Units
ST25AUG22-01-036,TEM ABF Effluent (TF-1) (08-22-2025),8/22/2025,Soluble BOD,168,168,,mg/L
ST25AUG23-02-033 ,TEM ABF Effluent (08-22-2025),8/22/2025,% Volatile Suspended Solids,91,91,,%
ST25AUG23-02-033 ,TEM ABF Effluent (08-22-2025),8/22/2025,Total Suspended Solids,350,350,,mg/L
ST25AUG23-02-033 ,TEM ABF Effluent (08-22-2025),8/22/2025,Volatile Suspended Solids,318,318,,mg/L
ST25AUG23-02-033 ,TEM ABF Effluent (08-22-2025),8/22/2025,pH,7.55,7.55,,pH Units
ST25AUG23-02-033 ,TEM ABF Effluent (08-22-2025),8/22/2025,Soluble BOD,108,108,,mg/L
ST25AUG24-02-033 ,TEM ABF Effluent (08-23-2025),8/23/2025,% Volatile Suspended Solids,96,96,,%
ST25AUG24-02-033 ,TEM ABF Effluent (08-23-2025),8/23/2025,Total Suspended Solids,290,290,,mg/L
ST25AUG24-02-033 ,TEM ABF Effluent (08-23-2025),8/23/2025,Volatile Suspended Solids,278,278,,mg/L
ST25AUG24-02-033 ,TEM ABF Effluent (08-23-2025),8/23/2025,pH,7.55,7.55,,pH Units
ST25AUG24-02-033 ,TEM ABF Effluent (08-23-2025),8/23/2025,Soluble BOD,84,84,,mg/L
ST25AUG25-01-034 ,TEM ABF Effluent (08-24-2025),8/24/2025,% Volatile Suspended Solids,93,93,,%
ST25AUG25-01-034 ,TEM ABF Effluent (08-24-2025),8/24/2025,Total Suspended Solids,252,252,,mg/L
ST25AUG25-01-034 ,TEM ABF Effluent (08-24-2025),8/24/2025,Volatile Suspended Solids,235,235,,mg/L
ST25AUG25-01-034 ,TEM ABF Effluent (08-24-2025),8/24/2025,pH,7.59,7.59,,pH Units
ST25AUG25-01-034 ,TEM ABF Effluent (08-24-2025),8/24/2025,Soluble BOD,38,38,,mg/L
ST25AUG26-01-034 ,TEM ABF Effluent (08-25-2025),8/25/2025,% Volatile Suspended Solids,90,90,,%
ST25AUG26-01-034 ,TEM ABF Effluent (08-25-2025),8/25/2025,Total Suspended Solids,195,195,,mg/L
ST25AUG26-01-034 ,TEM ABF Effluent (08-25-2025),8/25/2025,Volatile Suspended Solids,175,175,,mg/L
ST25AUG26-01-034 ,TEM ABF Effluent (08-25-2025),8/25/2025,pH,7.49,7.49,,pH Units
ST25AUG26-01-034 ,TEM ABF Effluent (08-25-2025),8/25/2025,Soluble BOD,103,103,,mg/L
ST25AUG25-01-039,TEM ABF Effluent (TF1) (08-25-2025),8/25/2025,pH,7.60,7.60,,pH Units
ST25AUG25-01-039,TEM ABF Effluent (TF1) (08-25-2025),8/25/2025,Soluble BOD,122,122,,mg/L
ST25AUG27-01-034 ,TEM ABF Effluent (08-26-2025),8/26/2025,% Volatile Suspended Solids,90,90,,%
ST25AUG27-01-034 ,TEM ABF Effluent (08-26-2025),8/26/2025,Total Suspended Solids,246,246,,mg/L
ST25AUG27-01-034 ,TEM ABF Effluent (08-26-2025),8/26/2025,Volatile Suspended Solids,222,222,,mg/L
ST25AUG27-01-034 ,TEM ABF Effluent (08-26-2025),8/26/2025,pH,7.56,7.56,,pH Units
ST25AUG27-01-034 ,TEM ABF Effluent (08-26-2025),8/26/2025,Soluble BOD,74,74,,mg/L
ST25AUG26-01-036,TEM ABF Effluent (TF1) (08-26-2025),8/26/2025,pH,7.57,7.57,,pH Units
ST25AUG26-01-036,TEM ABF Effluent (TF1) (08-26-2025),8/26/2025,Soluble BOD,101,101,,mg/L
ST25AUG28-01-036 ,TEM ABF Effluent (08-27-2025),8/27/2025,pH,7.51,7.51,,pH Units
ST25AUG28-01-036 ,TEM ABF Effluent (08-27-2025),8/27/2025,Soluble BOD,206,206,,mg/L
ST25AUG28-01-036 ,TEM ABF Effluent (08-27-2025),8/27/2025,% Volatile Suspended Solids,95,95,,%
ST25AUG28-01-036 ,TEM ABF Effluent (08-27-2025),8/27/2025,Total Suspended Solids,285,285,,mg/L
ST25AUG28-01-036 ,TEM ABF Effluent (08-27-2025),8/27/2025,Volatile Suspended Solids,270,270,,mg/L
ST25AUG27-01-036,TEM ABF Effluent (TF1) (08-27-2025),8/27/2025,pH,7.84,7.84,,pH Units
ST25AUG27-01-036,TEM ABF Effluent (TF1) (08-27-2025),8/27/2025,Soluble BOD,103,103,,mg/L
ST25AUG28-01-038,TEM ABF Effluent (TF 1) (08-28-2025),8/28/2025,pH,7.68,7.68,,pH Units
ST25AUG28-01-038,TEM ABF Effluent (TF 1) (08-28-2025),8/28/2025,Soluble BOD,195,195,,mg/L
ST25AUG29-01-037,TEM ABF Effluent (08-28-2025),8/28/2025,pH,7.56,7.56,,pH Units
ST25AUG29-01-037,TEM ABF Effluent (08-28-2025),8/28/2025,Soluble BOD,186,186,,mg/L
ST25AUG29-01-037,TEM ABF Effluent (08-28-2025),8/28/2025,% Volatile Suspended Solids,87,87,,%
ST25AUG29-01-037,TEM ABF Effluent (08-28-2025),8/28/2025,Total Suspended Solids,235,235,,mg/L
ST25AUG29-01-037,TEM ABF Effluent (08-28-2025),8/28/2025,Volatile Suspended Solids,205,205,,mg/L
ST25AUG29-01-036,TEM ABF Effluent (TF 1) (08-29-2025),8/29/2025,pH,7.76,7.76,,pH Units
ST25AUG29-01-036,TEM ABF Effluent (TF 1) (08-29-2025),8/29/2025,Soluble BOD,>231,>231,,mg/L
ST25AUG30-02-033 ,TEM ABF Effluent (08-29-2025),8/29/2025,% Volatile Suspended Solids,97,97,,%
ST25AUG30-02-033 ,TEM ABF Effluent (08-29-2025),8/29/2025,Total Suspended Solids,323,323,,mg/L
ST25AUG30-02-033 ,TEM ABF Effluent (08-29-2025),8/29/2025,Volatile Suspended Solids,313,313,,mg/L
ST25AUG30-02-033 ,TEM ABF Effluent (08-29-2025),8/29/2025,pH,7.62,7.62,,pH Units
ST25AUG30-02-033 ,TEM ABF Effluent (08-29-2025),8/29/2025,Soluble BOD,104,104,,mg/L
ST25AUG31-02-033 ,TEM ABF Effluent (08-30-2025),8/30/2025,% Volatile Suspended Solids,91,91,,%
ST25AUG31-02-033 ,TEM ABF Effluent (08-30-2025),8/30/2025,Total Suspended Solids,343,343,,mg/L
ST25AUG31-02-033 ,TEM ABF Effluent (08-30-2025),8/30/2025,Volatile Suspended Solids,311,311,,mg/L
ST25AUG31-02-033 ,TEM ABF Effluent (08-30-2025),8/30/2025,pH,7.71,7.71,,pH Units
ST25AUG31-02-033 ,TEM ABF Effluent (08-30-2025),8/30/2025,Soluble BOD,118,118,,mg/L
ST25SEP01-06-034 ,TEM ABF Effluent (08-31-2025),8/31/2025,% Volatile Suspended Solids,88,88,,%
ST25SEP01-06-034 ,TEM ABF Effluent (08-31-2025),8/31/2025,Total Suspended Solids,127,127,,mg/L
ST25SEP01-06-034 ,TEM ABF Effluent (08-31-2025),8/31/2025,Volatile Suspended Solids,111,111,,mg/L
ST25SEP01-06-034 ,TEM ABF Effluent (08-31-2025),8/31/2025,pH,7.67,7.67,,pH Units
ST25SEP01-06-034 ,TEM ABF Effluent (08-31-2025),8/31/2025,Soluble BOD,46,46,,mg/L
ST25SEP02-01-034 ,TEM ABF Effluent (09-01-2025),9/1/2025,% Volatile Suspended Solids,95,95,,%
ST25SEP02-01-034 ,TEM ABF Effluent (09-01-2025),9/1/2025,Total Suspended Solids,376,376,,mg/L
ST25SEP02-01-034 ,TEM ABF Effluent (09-01-2025),9/1/2025,Volatile Suspended Solids,356,356,,mg/L
ST25SEP02-01-034 ,TEM ABF Effluent (09-01-2025),9/1/2025,pH,7.77,7.77,,pH Units
ST25SEP02-01-034 ,TEM ABF Effluent (09-01-2025),9/1/2025,Soluble BOD,124,124,,mg/L
ST25SEP03-01-034 ,TEM ABF Effluent (09-02-2025),9/2/2025,% Volatile Suspended Solids,93,93,,%
ST25SEP03-01-034 ,TEM ABF Effluent (09-02-2025),9/2/2025,Total Suspended Solids,379,379,,mg/L
ST25SEP03-01-034 ,TEM ABF Effluent (09-02-2025),9/2/2025,Volatile Suspended Solids,353,353,,mg/L
ST25SEP03-01-034 ,TEM ABF Effluent (09-02-2025),9/2/2025,pH,7.86,7.86,,pH Units
ST25SEP03-01-034 ,TEM ABF Effluent (09-02-2025),9/2/2025,Soluble BOD,157,157,,mg/L
ST25SEP04-01-036 ,TEM ABF Effluent (09-03-2025),9/3/2025,pH,7.72,7.72,,pH Units
ST25SEP04-01-036 ,TEM ABF Effluent (09-03-2025),9/3/2025,Soluble BOD,199,199,,mg/L
ST25SEP04-01-036 ,TEM ABF Effluent (09-03-2025),9/3/2025,% Volatile Suspended Solids,87,87,,%
ST25SEP04-01-036 ,TEM ABF Effluent (09-03-2025),9/3/2025,Total Suspended Solids,124,124,,mg/L
ST25SEP04-01-036 ,TEM ABF Effluent (09-03-2025),9/3/2025,Volatile Suspended Solids,107,107,,mg/L
ST25SEP05-01-034 ,TEM ABF Effluent (09-04-2025),9/4/2025,% Volatile Suspended Solids,92,92,,%
ST25SEP05-01-034 ,TEM ABF Effluent (09-04-2025),9/4/2025,Total Suspended Solids,185,185,,mg/L
ST25SEP05-01-034 ,TEM ABF Effluent (09-04-2025),9/4/2025,Volatile Suspended Solids,170,170,,mg/L
ST25SEP05-01-034 ,TEM ABF Effluent (09-04-2025),9/4/2025,pH,7.22,7.22,,pH Units
ST25SEP05-01-034 ,TEM ABF Effluent (09-04-2025),9/4/2025,Soluble BOD,178,178,,mg/L
ST25SEP06-02-033 ,TEM ABF Effluent (09-05-2025),9/5/2025,% Volatile Suspended Solids,97,97,,%
ST25SEP06-02-033 ,TEM ABF Effluent (09-05-2025),9/5/2025,Total Suspended Solids,570,570,,mg/L
ST25SEP06-02-033 ,TEM ABF Effluent (09-05-2025),9/5/2025,Volatile Suspended Solids,553,553,,mg/L
ST25SEP06-02-033 ,TEM ABF Effluent (09-05-2025),9/5/2025,pH,7.62,7.62,,pH Units
ST25SEP06-02-033 ,TEM ABF Effluent (09-05-2025),9/5/2025,Soluble BOD,189,189,,mg/L
ST25SEP07-02-033 ,TEM ABF Effluent (09-06-2025),9/6/2025,% Volatile Suspended Solids,92,92,,%
ST25SEP07-02-033 ,TEM ABF Effluent (09-06-2025),9/6/2025,Total Suspended Solids,570,570,,mg/L
ST25SEP07-02-033 ,TEM ABF Effluent (09-06-2025),9/6/2025,Volatile Suspended Solids,523,523,,mg/L
ST25SEP07-02-033 ,TEM ABF Effluent (09-06-2025),9/6/2025,pH,7.66,7.66,,pH Units
ST25SEP07-02-033 ,TEM ABF Effluent (09-06-2025),9/6/2025,Soluble BOD,90,90,,mg/L
ST25SEP08-01-034 ,TEM ABF Effluent (09-07-2025),9/7/2025,% Volatile Suspended Solids,90,90,,%
ST25SEP08-01-034 ,TEM ABF Effluent (09-07-2025),9/7/2025,Total Suspended Solids,298,298,,mg/L
ST25SEP08-01-034 ,TEM ABF Effluent (09-07-2025),9/7/2025,Volatile Suspended Solids,268,268,,mg/L
ST25SEP08-01-034 ,TEM ABF Effluent (09-07-2025),9/7/2025,pH,7.67,7.67,,pH Units
ST25SEP08-01-034 ,TEM ABF Effluent (09-07-2025),9/7/2025,Soluble BOD,71,71,,mg/L
ST25SEP09-01-034 ,TEM ABF Effluent (09-08-2025),9/8/2025,% Volatile Suspended Solids,96,96,,%
ST25SEP09-01-034 ,TEM ABF Effluent (09-08-2025),9/8/2025,Total Suspended Solids,108,108,,mg/L
