SampleName,StartDate,EndDate
TEM ABF Influent (TF) (08-01-2025),8/1/2025,1/9/2026

SampleNumber,SampleName1,SampledDate,Parameter,SWPPRCalc,ReportedResult,Qual,Unit
ST25AUG20-01-035,TEM ABF Influent (TF inf) (08-20-2025),8/20/2025,pH,7.41,7.41,,pH Units
ST25AUG20-01-035,TEM ABF Influent (TF inf) (08-20-2025),8/20/2025,Soluble BOD,138,138,,mg/L
ST25AUG21-01-035 ,TEM ABF Influent (08-20-2025),8/20/2025,pH,7.45,7.45,,pH Units
ST25AUG21-01-035 ,TEM ABF Influent (08-20-2025),8/20/2025,Soluble BOD,436,436,,mg/L
ST25AUG21-01-035 ,TEM ABF Influent (08-20-2025),8/20/2025,% Volatile Suspended Solids,99,99,,%
ST25AUG21-01-035 ,TEM ABF Influent (08-20-2025),8/20/2025,Total Suspended Solids,165,165,,mg/L
ST25AUG21-01-035 ,TEM ABF Influent (08-20-2025),8/20/2025,Volatile Suspended Solids,164,164,,mg/L
ST25AUG21-01-037,TEM ABF Influent (TF) (08-21-2025),8/21/2025,pH,6.67,6.67,,pH Units
ST25AUG21-01-037,TEM ABF Influent (TF) (08-21-2025),8/21/2025,Soluble BOD,131,131,,mg/L
ST25AUG22-01-033 ,TEM ABF Influent (08-21-2025),8/21/2025,% Volatile Suspended Solids,93,93,,%
ST25AUG22-01-033 ,TEM ABF Influent (08-21-2025),8/21/2025,Total Suspended Solids,162,162,,mg/L
ST25AUG22-01-033 ,TEM ABF Influent (08-21-2025),8/21/2025,Volatile Suspended Solids,150,150,,mg/L
ST25AUG22-01-033 ,TEM ABF Influent (08-21-2025),8/21/2025,pH,6.19,6.19,,pH Units
ST25AUG22-01-033 ,TEM ABF Influent (08-21-2025),8/21/2025,Soluble BOD,575,575,,mg/L
ST25AUG22-01-035,TEM ABF Influent (TF) (08-22-2025),8/22/2025,pH,7.29,7.29,,pH Units
ST25AUG22-01-035,TEM ABF Influent (TF) (08-22-2025),8/22/2025,Soluble BOD,136,136,,mg/L
ST25AUG23-02-032 ,TEM ABF Influent (08-22-2025),8/22/2025,% Volatile Suspended Solids,93,93,,%
ST25AUG23-02-032 ,TEM ABF Influent (08-22-2025),8/22/2025,Total Suspended Solids,129,129,,mg/L
ST25AUG23-02-032 ,TEM ABF Influent (08-22-2025),8/22/2025,Volatile Suspended Solids,120,120,,mg/L
ST25AUG23-02-032 ,TEM ABF Influent (08-22-2025),8/22/2025,pH,6.03,6.03,,pH Units
ST25AUG23-02-032 ,TEM ABF Influent (08-22-2025),8/22/2025,Soluble BOD,574,574,,mg/L
ST25AUG24-02-032 ,TEM ABF Influent (08-23-2025),8/23/2025,% Volatile Suspended Solids,92,92,,%
ST25AUG24-02-032 ,TEM ABF Influent (08-23-2025),8/23/2025,Total Suspended Solids,126,126,,mg/L
ST25AUG24-02-032 ,TEM ABF Influent (08-23-2025),8/23/2025,Volatile Suspended Solids,116,116,,mg/L
ST25AUG24-02-032 ,TEM ABF Influent (08-23-2025),8/23/2025,pH,6.15,6.15,,pH Units
ST25AUG24-02-032 ,TEM ABF Influent (08-23-2025),8/23/2025,Soluble BOD,339,339,,mg/L
ST25AUG25-01-033 ,TEM ABF Influent (08-24-2025),8/24/2025,% Volatile Suspended Solids,90,90,,%
ST25AUG25-01-033 ,TEM ABF Influent (08-24-2025),8/24/2025,Total Suspended Solids,109,109,,mg/L
ST25AUG25-01-033 ,TEM ABF Influent (08-24-2025),8/24/2025,Volatile Suspended Solids,98,98,,mg/L
ST25AUG25-01-033 ,TEM ABF Influent (08-24-2025),8/24/2025,pH,6.38,6.38,,pH Units
ST25AUG25-01-033 ,TEM ABF Influent (08-24-2025),8/24/2025,Soluble BOD,406,406,,mg/L
ST25AUG26-01-033 ,TEM ABF Influent (08-25-2025),8/25/2025,% Volatile Suspended Solids,96,96,,%
ST25AUG26-01-033 ,TEM ABF Influent (08-25-2025),8/25/2025,Total Suspended Solids,116,116,,mg/L
ST25AUG26-01-033 ,TEM ABF Influent (08-25-2025),8/25/2025,Volatile Suspended Solids,111,111,,mg/L
ST25AUG26-01-033 ,TEM ABF Influent (08-25-2025),8/25/2025,pH,6.14,6.14,,pH Units
ST25AUG26-01-033 ,TEM ABF Influent (08-25-2025),8/25/2025,Soluble BOD,528,528,,mg/L
ST25AUG25-01-038,TEM ABF Influent (TF) (08-25-2025),8/25/2025,pH,6.81,6.81,,pH Units
ST25AUG25-01-038,TEM ABF Influent (TF) (08-25-2025),8/25/2025,Soluble BOD,284,284,,mg/L
ST25AUG27-01-033 ,TEM ABF Influent (08-26-2025),8/26/2025,% Volatile Suspended Solids,95,95,,%
ST25AUG27-01-033 ,TEM ABF Influent (08-26-2025),8/26/2025,Total Suspended Solids,120,120,,mg/L
ST25AUG27-01-033 ,TEM ABF Influent (08-26-2025),8/26/2025,Volatile Suspended Solids,114,114,,mg/L
ST25AUG27-01-033 ,TEM ABF Influent (08-26-2025),8/26/2025,pH,6.42,6.42,,pH Units
ST25AUG27-01-033 ,TEM ABF Influent (08-26-2025),8/26/2025,Soluble BOD,441,441,,mg/L
ST25AUG26-01-035,TEM ABF Influent (TF) (08-26-2025),8/26/2025,pH,7.04,7.04,,pH Units
ST25AUG26-01-035,TEM ABF Influent (TF) (08-26-2025),8/26/2025,Soluble BOD,172,172,,mg/L
ST25AUG28-01-035 ,TEM ABF Influent (08-27-2025),8/27/2025,pH,6.37,6.37,,pH Units
ST25AUG28-01-035 ,TEM ABF Influent (08-27-2025),8/27/2025,Soluble BOD,878,878,,mg/L
ST25AUG28-01-035 ,TEM ABF Influent (08-27-2025),8/27/2025,% Volatile Suspended Solids,93,93,,%
ST25AUG28-01-035 ,TEM ABF Influent (08-27-2025),8/27/2025,Total Suspended Solids,149,149,,mg/L
ST25AUG28-01-035 ,TEM ABF Influent (08-27-2025),8/27/2025,Volatile Suspended Solids,139,139,,mg/L
ST25AUG27-01-035,TEM ABF Influent (TF) (08-27-2025),8/27/2025,pH,7.26,7.26,,pH Units
ST25AUG27-01-035,TEM ABF Influent (TF) (08-27-2025),8/27/2025,Soluble BOD,206,206,,mg/L
ST25AUG29-01-033 ,TEM ABF Influent (08-28-2025),8/28/2025,% Volatile Suspended Solids,91,91,,%
ST25AUG29-01-033 ,TEM ABF Influent (08-28-2025),8/28/2025,Total Suspended Solids,157,157,,mg/L
ST25AUG29-01-033 ,TEM ABF Influent (08-28-2025),8/28/2025,Volatile Suspended Solids,143,143,,mg/L
ST25AUG29-01-033 ,TEM ABF Influent (08-28-2025),8/28/2025,pH,6.19,6.19,,pH Units
ST25AUG29-01-033 ,TEM ABF Influent (08-28-2025),8/28/2025,Soluble BOD,639,639,,mg/L
ST25AUG28-01-037,TEM ABF Influent (TF INF) (08-28-2025),8/28/2025,pH,7.97,7.97,,pH Units
ST25AUG28-01-037,TEM ABF Influent (TF INF) (08-28-2025),8/28/2025,Soluble BOD,357,357,,mg/L
ST25AUG29-01-035,TEM ABF Influent (TF INF) (08-29-2025),8/29/2025,pH,7.03,7.03,,pH Units
ST25AUG29-01-035,TEM ABF Influent (TF INF) (08-29-2025),8/29/2025,Soluble BOD,224,224,,mg/L
ST25AUG30-02-032 ,TEM ABF Influent (08-29-2025),8/29/2025,% Volatile Suspended Solids,93,93,,%
ST25AUG30-02-032 ,TEM ABF Influent (08-29-2025),8/29/2025,Total Suspended Solids,200,200,,mg/L
ST25AUG30-02-032 ,TEM ABF Influent (08-29-2025),8/29/2025,Volatile Suspended Solids,185,185,,mg/L
ST25AUG30-02-032 ,TEM ABF Influent (08-29-2025),8/29/2025,pH,6.62,6.62,,pH Units
ST25AUG30-02-032 ,TEM ABF Influent (08-29-2025),8/29/2025,Soluble BOD,480,480,,mg/L
ST25AUG31-02-032 ,TEM ABF Influent (08-30-2025),8/30/2025,% Volatile Suspended Solids,91,91,,%
ST25AUG31-02-032 ,TEM ABF Influent (08-30-2025),8/30/2025,Total Suspended Solids,217,217,,mg/L
ST25AUG31-02-032 ,TEM ABF Influent (08-30-2025),8/30/2025,Volatile Suspended Solids,197,197,,mg/L
ST25AUG31-02-032 ,TEM ABF Influent (08-30-2025),8/30/2025,pH,6.80,6.80,,pH Units
ST25AUG31-02-032 ,TEM ABF Influent (08-30-2025),8/30/2025,Soluble BOD,540,540,,mg/L
ST25SEP01-06-033 ,TEM ABF Influent (08-31-2025),8/31/2025,% Volatile Suspended Solids,88,88,,%
ST25SEP01-06-033 ,TEM ABF Influent (08-31-2025),8/31/2025,Total Suspended Solids,100,100,,mg/L
ST25SEP01-06-033 ,TEM ABF Influent (08-31-2025),8/31/2025,Volatile Suspended Solids,88,88,,mg/L
ST25SEP01-06-033 ,TEM ABF Influent (08-31-2025),8/31/2025,pH,6.62,6.62,,pH Units
ST25SEP01-06-033 ,TEM ABF Influent (08-31-2025),8/31/2025,Soluble BOD,394,394,,mg/L
ST25SEP02-01-033 ,TEM ABF Influent (09-01-2025),9/1/2025,% Volatile Suspended Solids,100,100,,%
ST25SEP02-01-033 ,TEM ABF Influent (09-01-2025),9/1/2025,Total Suspended Solids,114,114,,mg/L
ST25SEP02-01-033 ,TEM ABF Influent (09-01-2025),9/1/2025,Volatile Suspended Solids,114,114,,mg/L
ST25SEP02-01-033 ,TEM ABF Influent (09-01-2025),9/1/2025,pH,6.76,6.76,,pH Units
ST25SEP02-01-033 ,TEM ABF Influent (09-01-2025),9/1/2025,Soluble BOD,558,558,,mg/L
ST25SEP03-01-033 ,TEM ABF Influent (09-02-2025),9/2/2025,% Volatile Suspended Solids,89,89,,%
ST25SEP03-01-033 ,TEM ABF Influent (09-02-2025),9/2/2025,Total Suspended Solids,235,235,,mg/L
ST25SEP03-01-033 ,TEM ABF Influent (09-02-2025),9/2/2025,Volatile Suspended Solids,208,208,,mg/L
ST25SEP03-01-033 ,TEM ABF Influent (09-02-2025),9/2/2025,pH,6.82,6.82,,pH Units
ST25SEP03-01-033 ,TEM ABF Influent (09-02-2025),9/2/2025,Soluble BOD,485,485,,mg/L
ST25SEP04-01-035 ,TEM ABF Influent (09-03-2025),9/3/2025,pH,6.94,6.94,,pH Units
ST25SEP04-01-035 ,TEM ABF Influent (09-03-2025),9/3/2025,Soluble BOD,440,440,,mg/L
ST25SEP04-01-035 ,TEM ABF Influent (09-03-2025),9/3/2025,% Volatile Suspended Solids,88,88,,%
ST25SEP04-01-035 ,TEM ABF Influent (09-03-2025),9/3/2025,Total Suspended Solids,355,355,,mg/L
ST25SEP04-01-035 ,TEM ABF Influent (09-03-2025),9/3/2025,Volatile Suspended Solids,312,312,,mg/L
ST25SEP05-01-033 ,TEM ABF Influent (09-04-2025),9/4/2025,% Volatile Suspended Solids,95,95,,%
ST25SEP05-01-033 ,TEM ABF Influent (09-04-2025),9/4/2025,Total Suspended Solids,247,247,,mg/L
ST25SEP05-01-033 ,TEM ABF Influent (09-04-2025),9/4/2025,Volatile Suspended Solids,236,236,,mg/L
ST25SEP05-01-033 ,TEM ABF Influent (09-04-2025),9/4/2025,pH,6.20,6.20,,pH Units
ST25SEP05-01-033 ,TEM ABF Influent (09-04-2025),9/4/2025,Soluble BOD,635,635,,mg/L
ST25SEP06-02-032 ,TEM ABF Influent (09-05-2025),9/5/2025,% Volatile Suspended Solids,92,92,,%
ST25SEP06-02-032 ,TEM ABF Influent (09-05-2025),9/5/2025,Total Suspended Solids,450,450,,mg/L
ST25SEP06-02-032 ,TEM ABF Influent (09-05-2025),9/5/2025,Volatile Suspended Solids,413,413,,mg/L
ST25SEP06-02-032 ,TEM ABF Influent (09-05-2025),9/5/2025,pH,6.41,6.41,,pH Units
ST25SEP06-02-032 ,TEM ABF Influent (09-05-2025),9/5/2025,Soluble BOD,577,577,,mg/L
ST25SEP07-02-032 ,TEM ABF Influent (09-06-2025),9/6/2025,% Volatile Suspended Solids,88,88,,%
ST25SEP07-02-032 ,TEM ABF Influent (09-06-2025),9/6/2025,Total Suspended Solids,273,273,,mg/L
ST25SEP07-02-032 ,TEM ABF Influent (09-06-2025),9/6/2025,Volatile Suspended Solids,240,240,,mg/L
ST25SEP07-02-032 ,TEM ABF Influent (09-06-2025),9/6/2025,pH,6.52,6.52,,pH Units
ST25SEP07-02-032 ,TEM ABF Influent (09-06-2025),9/6/2025,Soluble BOD,460,460,,mg/L
ST25SEP08-01-033 ,TEM ABF Influent (09-07-2025),9/7/2025,% Volatile Suspended Solids,97,97,,%
ST25SEP08-01-033 ,TEM ABF Influent (09-07-2025),9/7/2025,Total Suspended Solids,193,193,,mg/L
ST25SEP08-01-033 ,TEM ABF Influent (09-07-2025),9/7/2025,Volatile Suspended Solids,187,187,,mg/L
ST25SEP08-01-033 ,TEM ABF Influent (09-07-2025),9/7/2025,pH,6.84,6.84,,pH Units
ST25SEP08-01-033 ,TEM ABF Influent (09-07-2025),9/7/2025,Soluble BOD,414,414,,mg/L
ST25SEP09-01-033 ,TEM ABF Influent (09-08-2025),9/8/2025,% Volatile Suspended Solids,92,92,,%
ST25SEP09-01-033 ,TEM ABF Influent (09-08-2025),9/8/2025,Total Suspended Solids,105,105,,mg/L
ST25SEP09-01-033 ,TEM ABF Influent (09-08-2025),9/8/2025,Volatile Suspended Solids,97,97,,mg/L
ST25SEP09-01-033 ,TEM ABF Influent (09-08-2025),9/8/2025,pH,6.58,6.58,,pH Units
ST25SEP09-01-033 ,TEM ABF Influent (09-08-2025),9/8/2025,Soluble BOD,362,362,,mg/L
ST25SEP10-01-033 ,TEM ABF Influent (09-09-2025),9/9/2025,% Volatile Suspended Solids,92,92,,%
ST25SEP10-01-033 ,TEM ABF Influent (09-09-2025),9/9/2025,Total Suspended Solids,151,151,,mg/L
