SampledDate,% Volatile Suspended Solids,Chemical Oxygen Demand,Soluble BOD,Total Suspended Solids,Volatile Suspended Solids,pH
2025-01-23,94,,,260,245,
2025-01-24,90,,,358,322,
2025-01-25,92,,,372,342,
2025-01-26,92,,,370,342,
2025-01-27,91,,,346,316,
2025-01-28,85,,324,328,278,6.87
2025-01-29,91,,441,588,538,7.02
2025-01-30,88,,743,580,513,6.53
2025-01-31,89,,,410,366,
2025-02-01,96,,,50,48,
2025-02-02,98,,,245,240,
2025-02-03,87,,155,282,246,6.79
2025-02-04,89,,365,292,260,6.15
2025-02-05,89,,,272,242,
2025-02-06,90,,,282,253,
2025-02-07,86,,,433,370,
2025-02-08,89,,,427,382,
2025-02-09,92,,,152,139,
2025-02-10,88,,,252,222,
2025-02-11,87,,,685,595,
2025-02-12,83,,,197,163,
2025-02-13,76,,231,6775,5175,6.59
2025-02-14,82,,,282,230,
2025-02-15,90,,,215,194,
2025-02-16,68,,,126,86,
2025-02-17,78,,,119,93,
2025-02-18,85,,239,127,108,6.14
2025-02-19,85,,309,188,159,6.57
2025-02-20,94,,238,182,171,6.46
2025-02-21,82,,224,250,206,6.06
2025-02-22,65,,451,404,261,5.81
2025-02-23,92,,202,250,230,6.42
2025-02-24,89,,,210,187,
2025-02-25,92,,178,230,211,6.24
2025-02-26,91,,312,251,229,6.16
2025-02-27,95,,354,221,209,6.23
2025-02-28,87,,,228,199,
2025-03-01,90,,,308,278,
2025-03-02,92,,,284,261,
2025-03-03,99,,353,253,249,6.33
2025-03-04,94,,415,299,281,6.39
2025-03-05,96,,246,342,328,6.49
2025-03-06,87,,403,473,410,6.64
2025-03-07,93,,,284,264,
2025-03-08,94,,,205,193,
2025-03-09,94,,,260,244,
2025-03-10,95,,315,480,455,6.05
2025-03-11,90,,399,586,526,6.27
2025-03-12,99,,255,366,364,7.17
2025-03-13,92,,316,257,237,6.38
2025-03-14,77,,,264,203,
2025-03-15,78,,,208,163,
2025-03-16,75,,,173,130,
2025-03-17,91,,,220,200,
2025-03-18,74,,357,393,290,7.62
2025-03-19,94,,,327,307,
2025-03-20,94,,,268,252,
2025-03-21,97,,,250,241,
2025-03-22,96,,,281,270,
2025-03-23,97,,377,180,174,7.03
2025-03-24,89,,357,203,181,6.86
2025-03-25,96,,343,230,220,6.59
2025-03-26,95,,327,675,640,6.41
2025-03-27,82,,398,388,318,6.44
2025-03-28,86,,,368,318,
2025-03-29,78,,313,306,240,6.41
2025-03-30,83,,297,360,298,6.69
2025-03-31,81,,243,294,238,6.79
2025-04-01,97,,349,358,348,6.68
2025-04-02,87,,289,430,373,6.50
2025-04-03,87,,81,520,450,6.88
2025-04-04,66,,<43,141,93,6.99
2025-04-05,74,,150,146,109,6.76
2025-04-06,55,,69,280,153,7.06
2025-04-07,77,,122,175,135,6.71
2025-04-08,85,,156,204,173,6.84
2025-04-09,79,,153.6,228,181,6.94
2025-04-10,79,,263,274,215,6.88
2025-04-11,89,,329,320,285,6.62
2025-04-12,85,,339,273,233,6.52
2025-04-13,79,,,353,280,
2025-04-14,81,,350,523,423,6.57
2025-04-15,83,,324,513,428,6.78
2025-04-16,82,,224,295,243,6.71
2025-04-17,84,,,376,316,
2025-04-18,78,,,660,515,
2025-04-19,77,,,502,388,
2025-04-20,83,,,453,375,
2025-04-21,81,,223,538,438,7.07
2025-04-22,86,,249,483,415,6.80
2025-04-23,66,,330,503,330,6.48
2025-04-24,84,,329,500,420,6.56
2025-04-25,77,,104,700,537,7.74
2025-04-26,84,,,352,294,
2025-04-27,84,,,315,265,
2025-04-28,83,,182,362,302,6.62
2025-04-29,87,,60,340,296,7.88
2025-04-30,78,,<40,480,375,7.98
2025-05-01,84,,129,352,294,7.42
2025-05-02,84,,71,352,294,7.81
2025-05-03,87,,,275,238,
2025-05-04,98,,267,108,105,7.06
2025-05-05,83,,237,381,316,6.67
2025-05-06,86,,86,283,244,7.76
2025-05-07,80,,273,345,278,6.47
2025-05-08,83,,284,352,292,6.51
2025-05-09,78,,120,404,316,7.60
2025-05-10,84,,,424,358,
2025-05-11,98,,,308,303,
2025-05-12,72,,213,320,230,6.62
2025-05-13,85,,236,173,147,6.84
2025-05-14,84,,245,223,187,6.65
2025-05-15,86,462,396,326,280,6.93
2025-05-16,90,,248,200,180,6.71
2025-05-17,83,,,429,356,
2025-05-18,91,,,211,193,
2025-05-19,69,,85,281,194,6.59
2025-05-20,78,,171,150,117,6.70
2025-05-21,85,,153,153,129,6.57
2025-05-22,88,,215,213,187,6.43
2025-05-23,80,,47,360,288,7.79
2025-05-24,80,,,344,276,
2025-05-26,69,,,170,118,
2025-05-27,84,,223,107,90,6.95
2025-05-28,89,,173,108,97,7.02
2025-05-29,,,230,,,6.54
2025-05-30,77,,,231,178,
2025-05-31,83,,,144,119,
2025-06-01,84,,,278,235,
